code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
187660,현대ADM,202508190900,20250829,1820,3280,79.73,549,10
123330,제닉,202408300900,20240905,6180,10410,67.99,161,6
062970,한국첨단소재,202412190900,20241227,2525,4190,65.49,396,8
123330,제닉,202409060900,20240912,10550,17500,65.42,94,6
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3
024060,흥구석유,202310120900,20231016,9990,16060,60.32,100,4
003780,진양산업,202411260900,20241211,6100,9680,58.25,163,15
304100,솔트룩스,202301090900,20230125,16000,25350,58.0,62,16
253590,네오셈,202312130900,20231214,4590,7240,57.3,217,1
115500,케이씨에스,202303090900,20230313,7600,11860,55.62,131,4
041020,폴라리스오피스,202302230900,20230306,1706,2655,55.2,586,11
025620,차AI헬스케어,202509300900,20251001,9900,15220,53.31,101,1
030520,한글과컴퓨터,202401100900,20240122,20950,32000,52.32,47,12
114450,그린생명과학,202511040900,20251113,2580,3925,51.71,387,9
101140,인바이오젠,202504280900,20250430,8600,13000,50.75,116,2
047560,이스트소프트,202401030900,20240108,15250,23000,50.41,65,5
052400,코나아이,202506040900,20250609,55500,82600,48.42,18,5
052400,코나아이,202504020900,20250408,29900,44200,47.42,33,6
356680,엑스게이트,202305240900,20230607,4580,6730,46.54,218,14
039830,오로라,202506270900,20250701,11300,16520,45.79,88,4
052400,코나아이,202412060900,20241210,18150,26450,45.33,55,4
298060,에스씨엠생명과학,202507230900,20250725,1023,1487,44.96,977,2
089150,케이씨티,202505230900,20250526,2650,3835,44.32,377,3
208710,포톤,202412230900,20250106,2105,3035,43.78,475,14
082270,젬백스,202502050900,20250218,19300,27750,43.39,51,13
062970,한국첨단소재,202406170900,20240626,2047,2943,43.38,488,9
000100,유한양행,202408220900,20240829,94700,136000,43.22,10,7
246720,아스타,202303200900,20230322,6890,9800,41.84,145,2
107600,새빗켐,202508060900,20250821,26150,37150,41.67,38,15
003280,흥아해운,202306120900,20230621,1449,2050,41.09,690,9
005690,파미셀,202502030900,20250214,7780,10990,40.87,128,11
094480,갤럭시아머니트리,202311240900,20231204,6880,9640,39.73,145,10
171090,선익시스템,202402290900,20240314,26200,36600,39.31,38,14
338220,뷰노,202302240900,20230302,11800,16470,39.19,84,6
114190,강원에너지,202507070900,20250717,10000,13940,39.02,100,10
253590,네오셈,202307110900,20230717,4105,5700,38.47,243,6
060900,에이전트AI,202504210900,20250429,1037,1435,38.0,964,8
094170,동운아나텍,202306270900,20230628,14226,19606,37.44,70,1
171090,선익시스템,202404250900,20240429,44050,60700,37.42,22,4
010580,에스엠벡셀,202509180900,20250925,1519,2090,37.21,658,7
258610,케일럼,202504010900,20250409,1401,1920,36.67,713,8
287840,인투셀,202510210900,20251031,43950,60100,36.37,22,10
045660,에이텍,202309250900,20230927,9620,13130,36.11,103,2
448280,에코아이,202504240900,20250508,9866,13390,35.34,101,14
309710,아이티켐,202509220900,20251010,24500,32850,33.71,40,18
006220,제주은행,202506240900,20250626,11290,15120,33.55,88,2
006660,삼성공조,202405300900,20240604,10470,13950,32.87,95,5
003720,삼영,202304210900,20230508,4055,5350,31.57,246,17
006660,삼성공조,202502200900,20250225,13130,17280,31.24,76,5
030520,한글과컴퓨터,202401080900,20240109,15210,20000,31.13,65,1
095500,미래나노텍,202507210900,20250731,10250,13430,30.66,97,10
382900,범한퓨얼셀,202508280900,20250902,20150,26400,30.66,49,5
002710,TCC스틸,202303060900,20230316,14200,18600,30.62,70,10
036930,주성엔지니어링,202307180900,20230728,21450,28050,30.41,46,10
402030,코난테크놀로지,202301110900,20230118,16811,21967,30.31,59,7
039980,폴라리스AI,202402140900,20240221,1456,1901,30.2,686,7
123690,한국화장품,202405140900,20240517,7570,9880,30.15,132,3
059090,미코,202405100900,20240523,12700,16550,29.95,78,13
016880,웅진,202504290900,20250430,1024,1330,29.52,976,1
107600,새빗켐,202507210900,20250805,19100,24800,29.48,52,15
000520,삼일제약,202408060900,20240821,8550,11050,28.88,116,15
221840,하이즈항공,202507250900,20250728,2450,3165,28.83,408,3
