code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
032800,판타지오,202403080900,20240311,900,1135,25.76,1111,3,145,75.0,15.0,25.0,25.0,0.0,5.43,0.0
025900,동화기업,202601220900,20260123,8080,9280,14.53,123,1,115,50.0,33.0,0.0,25.0,2.0,5.66,0.0
461030,아이엠비디엑스,202407120900,20240715,8950,9930,10.64,111,3,120,35.0,35.0,25.0,25.0,0.0,0.0,0.0
011000,진원생명과학,202604140900,20260415,717,786,9.32,1394,1,151,68.0,50.0,13.0,25.0,0.0,5.84,-10.0
305090,마이크로디지탈,202604010900,20260402,5810,6350,8.99,172,1,125,35.0,50.0,5.0,25.0,0.0,10.0,0.0
039830,오로라,202601050900,20260106,14200,15440,8.43,70,1,143,25.0,50.0,25.0,25.0,4.0,14.0,0.0
445090,에이직랜드,202409090900,20240910,24850,27000,8.35,40,1,157,53.0,60.0,5.0,25.0,0.0,14.0,0.0
351320,넥사다이내믹스,202308090900,20230810,2895,3145,8.33,345,1,118,50.0,0.0,25.0,25.0,4.0,14.0,0.0
011330,유니켐,202604130900,20260414,650,705,8.16,1538,1,187,75.0,60.0,13.0,25.0,4.0,10.0,0.0
320000,한울반도체,202308170900,20230818,2400,2600,8.03,416,1,136,75.0,0.0,25.0,25.0,4.0,7.49,0.0
054780,키이스트,202601120900,20260113,3130,3390,8.0,319,1,115,35.0,25.0,20.0,25.0,0.0,10.0,0.0
406820,뷰티스킨,202603240900,20260325,1908,2065,7.93,524,1,128,43.0,40.0,20.0,25.0,0.0,0.0,0.0
052400,코나아이,202407120900,20240715,14620,15800,7.77,68,3,117,63.0,0.0,25.0,25.0,4.0,10.28,-10.0
038540,상상인,202409230900,20240924,1710,1836,7.07,584,1,128,80.0,0.0,5.0,25.0,4.0,14.0,0.0
253590,네오셈,202409120900,20240913,8560,9140,6.48,116,1,148,35.0,46.38,25.0,25.0,0.0,17.0,0.0
053350,이니텍,202601130900,20260114,4455,4720,5.65,224,1,127,55.0,25.0,20.0,25.0,0.0,12.0,-10.0
025770,한국정보통신,202305170900,20230518,9980,10570,5.62,100,1,116,40.0,25.0,5.0,25.0,4.0,17.0,0.0
206560,덱스터,202604140900,20260415,2650,2795,5.18,377,1,118,53.0,50.0,5.0,0.0,0.0,10.0,0.0
