code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
079190,케스피온,202406050900,20240607,640,1002,56.13,1562,2,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
043100,알파AI,202410020900,20241004,1891,2907,53.31,528,2,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
250930,예선테크,202408060900,20240807,489,740,50.91,2044,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
032800,판타지오,202502200900,20250221,508,732,43.7,1968,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
065530,와이어블,202306270900,20230628,2080,2895,38.8,480,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
450140,코오롱모빌리티그룹,202401300900,20240131,2800,3780,34.63,357,1,135,60.0,30.0,30.0,25.0,0.0,0.0,-10.0
047920,HLB제약,202411180900,20241119,17500,23300,32.78,57,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
254490,미래반도체,202408090900,20240812,10800,14130,30.47,92,3,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
099220,SDN,202409110900,20240912,1244,1600,28.26,803,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
050090,비케이홀딩스,202602200900,20260223,541,695,28.11,1848,3,159,70.0,55.0,30.0,0.0,4.0,0.0,0.0
058110,멕아이씨에스,202310250900,20231026,2300,2910,26.17,434,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
032800,판타지오,202403080900,20240311,900,1135,25.76,1111,3,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
008290,원풍물산,202501230900,20250124,443,557,25.39,2257,1,139,50.0,30.0,30.0,25.0,4.0,0.0,0.0
092040,아미코젠,202505230900,20250526,2930,3620,23.21,341,3,139,50.0,30.0,30.0,25.0,4.0,0.0,0.0
047920,HLB제약,202301060900,20230109,10050,12400,23.04,99,3,134,60.0,15.0,30.0,25.0,4.0,0.0,0.0
047920,HLB제약,202503240900,20250325,18490,22550,21.62,54,1,120,60.0,30.0,30.0,0.0,0.0,0.0,0.0
416180,신성에스티,202405270900,20240528,26400,32150,21.44,37,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
043100,알파AI,202510150900,20251016,1373,1670,21.29,728,1,174,70.0,55.0,30.0,25.0,4.0,0.0,-10.0
348030,모비릭스,202307100900,20230711,8930,10850,21.16,111,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
234100,폴라리스세원,202310050900,20231006,1650,1997,20.69,606,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
099220,SDN,202407030900,20240704,1407,1699,20.42,710,1,134,50.0,30.0,25.0,25.0,4.0,0.0,0.0
254490,미래반도체,202504100900,20250411,10580,12720,19.89,94,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
357580,아모센스,202604100900,20260413,13180,15820,19.7,75,3,118,43.0,55.0,30.0,0.0,0.0,0.0,-10.0
389140,포바이포,202311010900,20231102,5991,7182,19.55,166,1,125,45.0,30.0,25.0,25.0,0.0,0.0,0.0
131400,이브이첨단소재,202301120900,20230113,1492,1752,17.1,670,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
250930,예선테크,202303280900,20230329,883,1036,17.0,1132,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
253590,네오셈,202406050900,20240607,9500,11100,16.52,105,2,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
276040,스코넥,202512010900,20251202,1399,1630,16.19,714,1,137,60.0,22.72,30.0,25.0,0.0,0.0,0.0
088290,이원컴포텍,202306050900,20230607,4215,4885,15.57,237,2,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
033170,시그네틱스,202408060900,20240807,875,1012,15.34,1142,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
069920,엑시온그룹,202603270900,20260330,462,532,14.83,2164,3,119,60.0,19.43,25.0,25.0,0.0,0.0,-10.0
205500,넥써쓰,202308100900,20230811,1728,1985,14.55,578,1,119,70.0,30.0,15.0,0.0,4.0,0.0,0.0
025900,동화기업,202601220900,20260123,8080,9280,14.53,123,1,120,63.0,25.0,5.0,25.0,2.0,0.0,0.0
224060,더코디,202409120900,20240913,3975,4565,14.52,251,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
034730,SK,202405300900,20240531,143300,164500,14.47,6,1,124,60.0,30.0,30.0,0.0,4.0,0.0,0.0
086900,메디톡스,202412100900,20241211,119800,137500,14.46,8,1,123,53.0,30.0,15.0,25.0,0.0,0.0,0.0
250930,예선테크,202412100900,20241211,327,375,14.36,3058,1,115,70.0,30.0,15.0,0.0,0.0,0.0,0.0
192250,케이사인,202408060900,20240807,8260,9450,14.09,121,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
156100,엘앤케이바이오,202303170900,20230320,5771,6599,14.03,173,3,115,70.0,30.0,25.0,0.0,0.0,0.0,-10.0
000040,KR모터스,202303170900,20230320,1304,1472,12.57,766,3,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
004380,삼익THK,202604140900,20260415,10630,12000,12.57,94,1,152,70.0,52.19,30.0,0.0,0.0,0.0,0.0
205500,넥써쓰,202310110900,20231012,1090,1230,12.53,917,1,154,70.0,30.0,25.0,25.0,4.0,0.0,0.0
