code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
321820,아티스트컴퍼니,202312080900,20231211,3740,6270,67.19,267,3,128,35.0,58.24,10.0,15.0,10.0,0.0,0.0
188260,세니젠,202501060900,20250109,2735,4530,65.18,365,3,102,57.47,20.0,0.0,15.0,10.0,0.0,0.0
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3,123,35.0,55.8,8.06,15.0,10.0,0.0,0.0
121850,코이즈,202604070900,20260408,2015,3315,64.07,496,1,102,32.42,45.31,4.98,15.0,30.0,0.0,-25.0
044340,위닉스,202501100900,20250113,4995,8000,59.72,200,3,102,35.0,20.0,6.66,15.0,25.44,0.0,0.0
208640,썸에이지,202508040900,20250805,247,395,59.48,4048,1,107,35.0,37.82,10.0,15.0,10.0,0.0,0.0
411080,샌즈랩,202408270900,20240828,6110,9760,59.3,163,1,119,35.0,49.62,10.0,15.0,10.0,0.0,0.0
193250,링크드,202504090900,20250410,428,682,58.91,2336,1,104,35.0,20.0,10.0,15.0,24.8,0.0,0.0
000680,LS네트웍스,202307250900,20230726,2730,4350,58.9,366,1,124,35.0,54.59,10.0,15.0,10.0,0.0,0.0
138360,앤로보틱스,202311150900,20231117,821,1296,57.42,1218,2,104,35.62,20.0,3.43,15.0,30.0,0.0,0.0
237820,플레이디,202306300900,20230710,5200,8170,56.68,192,10,131,56.35,20.0,10.0,15.0,30.0,0.0,0.0
101000,KS인더스트리,202304240900,20230425,1575,2470,56.39,634,1,110,35.0,20.0,10.0,15.0,30.0,0.0,0.0
263920,휴엠앤씨,202304270900,20230428,5903,9215,55.68,169,1,100,35.0,20.0,10.0,15.0,20.0,0.0,0.0
357580,아모센스,202308180900,20230821,14400,22450,55.47,69,3,105,35.0,20.0,6.83,15.0,28.24,0.0,0.0
000440,중앙에너비스,202506120900,20250616,15770,24500,54.93,63,4,101,35.0,31.99,6.57,15.0,12.8,0.0,0.0
