code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
036630,세종텔레콤,202510220900,20251113,6000,10300,71.2,166,22
405000,플라즈맵,202505130900,20250514,7800,13180,68.51,128,1
065650,하이퍼코퍼레이션,202506260900,20250627,2135,3605,68.39,468,1
044480,빌리언스,202508060900,20250807,303,510,67.86,3300,1
064850,에프앤가이드,202409230900,20240924,23000,38450,66.72,43,1
438700,버넥트,202502170900,20250218,3190,5330,66.63,313,1
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3
000400,롯데손해보험,202602200900,20260223,1976,3250,64.02,506,3
065350,신성델타테크,202308010900,20230802,15650,25600,63.13,63,1
034120,SBS,202412200900,20241223,15440,25050,61.8,64,3
109960,앱토크롬,202508110900,20250812,359,582,61.67,2785,1
106080,케이이엠텍,202510230900,20251024,1369,2200,60.26,730,1
044340,위닉스,202501100900,20250113,4995,8000,59.72,200,3
193250,링크드,202504090900,20250410,428,682,58.91,2336,1
011080,형지I&C,202412090900,20241210,546,859,56.89,1831,1
290120,DH오토리드,202505210900,20250602,2610,4100,56.66,383,12
121850,코이즈,202412090900,20241210,11775,18479,56.5,84,1
002630,오리엔트바이오,202412090900,20241210,650,1020,56.49,1538,1
025770,한국정보통신,202506110900,20250620,8120,12720,56.22,123,9
255220,SG,202403140900,20240315,1578,2468,55.97,633,1
069920,엑시온그룹,202503250900,20250326,828,1293,55.73,1207,1
024060,흥구석유,202506130900,20250616,12440,19330,54.96,80,3
000540,흥국화재,202602200900,20260223,4450,6900,54.63,224,3
143540,영우디에스피,202404030900,20240404,903,1399,54.5,1107,1
052300,오션인더블유,202312080900,20231212,4350,6730,54.29,229,4
065500,오리엔트정공,202412090900,20241210,2710,4185,54.0,369,1
089850,유비벨록스,202504250900,20250428,6060,9320,53.37,165,3
028080,휴맥스홀딩스,202504040900,20250407,2185,3350,52.9,457,3
123330,제닉,202409040900,20240905,6800,10410,52.67,147,1
047560,이스트소프트,202401020900,20240108,15030,23000,52.61,66,6
024740,한일단조,202603050900,20260309,2765,4220,52.2,361,4
205500,넥써쓰,202412110900,20241212,1014,1544,51.85,986,1
900300,오가닉티코스메틱,202405280900,20240529,1080,1630,50.51,925,1
104040,대성파인텍,202504220900,20250423,826,1245,50.31,1210,1
009620,삼보산업,202412130900,20241216,1930,2890,49.33,518,3
198440,강동씨앤엘,202406050900,20240607,1654,2465,48.62,604,2
391710,코닉오토메이션,202508250900,20250826,1426,2125,48.61,701,1
208640,썸에이지,202508080900,20250811,430,640,48.43,2325,3
235980,메드팩토,202511100900,20251111,4900,7290,48.37,204,1
317770,엑스페릭스,202504180900,20250421,4400,6540,48.23,227,3
052860,아이앤씨,202412100900,20241211,1742,2580,47.7,574,1
008830,대동기어,202309070900,20230908,6740,9980,47.66,148,1
065500,오리엔트정공,202503310900,20250402,9630,14250,47.57,103,2
017510,세명전기,202405020900,20240508,4555,6740,47.56,219,6
450140,코오롱모빌리티그룹,202509220900,20250923,10150,15000,47.38,98,1
460930,현대힘스,202411070900,20241108,10360,15310,47.37,96,1
900290,GRT,202410210900,20241022,3675,5430,47.35,272,1
004540,깨끗한나라,202311240900,20231127,2100,3100,47.21,476,3
006260,LS,202307250900,20230726,93500,138000,47.19,10,1
003960,사조대림,202406140900,20240617,47450,70000,47.12,21,3
137940,넥스트아이,202310270900,20231103,438,646,47.08,2283,7
018700,바른손,202506120900,20250623,1025,1510,46.91,975,11
033170,시그네틱스,202510020900,20251010,746,1099,46.91,1340,8
191420,테고사이언스,202311140900,20231115,7810,11500,46.84,128,1
114450,그린생명과학,202408080900,20240809,1905,2800,46.58,524,1
239610,에이치엘사이언스,202409130900,20240919,13210,19370,46.23,75,6
348350,위드텍,202506190900,20250620,7880,11550,46.17,126,1
000950,전방,202506120900,20250613,32800,48050,46.09,30,1
031860,디에이치엑스컴퍼니,202412090900,20241211,1038,1520,46.03,963,2
188260,세니젠,202408190900,20240820,3210,4695,45.86,311,1
290120,DH오토리드,202601120900,20260114,2640,3855,45.62,378,2
000540,흥국화재,202401310900,20240202,3390,4950,45.62,294,2
043590,웰킵스하이텍,202507170900,20250718,624,910,45.43,1602,1
299660,셀리드,202408080900,20240812,5249,7647,45.28,190,4
257720,실리콘투,202405070900,20240510,15110,22000,45.2,66,3
189690,포시에스,202401180900,20240119,2745,3995,45.14,364,1
160980,싸이맥스,202502040900,20250205,9430,13720,45.09,106,1
424980,마이크로투나노,202409260900,20240927,6640,9660,45.08,150,1
085670,뉴프렉스,202401250900,20240129,8370,12170,45.0,119,4
036480,대성미생물,202310200900,20231023,10010,14530,44.76,99,3
177350,베셀,202509040900,20250905,978,1418,44.59,1022,1
014970,삼륭물산,202504220900,20250423,2900,4200,44.43,344,1
340810,시선AI,202506040900,20250605,4005,5800,44.42,249,1
089150,케이씨티,202505230900,20250526,2650,3835,44.32,377,3
009780,엠에스씨,202306300900,20230703,5840,8450,44.29,171,3
065370,위세아이텍,202504070900,20250408,7880,11400,44.27,126,1
294570,쿠콘,202506050900,20250609,27500,39750,44.15,36,4
208710,포톤,202509260900,20250929,2200,3180,44.15,454,3
064850,에프앤가이드,202409130900,20240920,13250,19150,44.13,75,7
079950,인베니아,202601120900,20260113,5150,7440,44.07,194,1
263770,유에스티,202507280900,20250729,2115,3055,44.05,472,1
032580,피델릭스,202312080900,20231211,1382,1992,43.74,723,3
048530,인트론바이오,202308160900,20230817,6010,8660,43.7,166,1
032800,판타지오,202502200900,20250221,508,732,43.7,1968,1
229000,젠큐릭스,202601090900,20260112,1527,2200,43.68,654,3
115530,씨엔플러스,202403150900,20240318,268,386,43.63,3731,3
430690,한싹,202408270900,20240828,5440,7830,43.54,183,1
115530,씨엔플러스,202403190900,20240320,328,472,43.51,3048,1
053580,웹케시,202412110900,20241212,7010,10070,43.26,142,1
222110,팬젠,202410040900,20241007,4170,5990,43.25,239,3
100790,미래에셋벤처투자,202512180900,20251219,11760,16890,43.23,85,1
036630,세종텔레콤,202504300900,20250502,3056,4389,43.22,327,2
019990,에너토크,202405270900,20240528,6700,9620,43.19,149,1
026040,제이에스티나,202506050900,20250609,2010,2885,43.14,497,4
009780,엠에스씨,202508280900,20250829,8500,12200,43.13,117,1
900340,윙입푸드,202403060900,20240307,1000,1435,43.1,1000,1
239340,이스트에이드,202504100900,20250411,1364,1957,43.08,733,1
065370,위세아이텍,202412110900,20241212,5320,7630,43.03,187,1
013810,스페코,202408060900,20240807,3515,5040,42.99,284,1
013990,아가방컴퍼니,202401030900,20240104,4200,6020,42.94,238,1
413390,엠오티,202502260900,20250227,7570,10840,42.8,132,1
068330,일신바이오,202505290900,20250530,1285,1840,42.8,778,1
047080,한빛소프트,202408270900,20240828,2080,2975,42.63,480,1
361670,삼영에스앤씨,202405240900,20240527,7230,10340,42.62,138,3
450140,코오롱모빌리티그룹,202509250900,20250926,13780,19700,42.57,72,1
312610,에이에프더블류,202507240900,20250725,1283,1833,42.47,779,1
080530,코디,202401080900,20240109,1467,2095,42.41,681,1
087010,펩트론,202504100900,20250414,119400,170500,42.4,8,4
051370,인터플렉스,202401190900,20240122,12480,17770,42.0,80,3
060480,국일신동,202308110900,20230816,3485,4960,41.93,286,5
093520,매커스,202507220900,20250723,19960,28400,41.89,50,1
199480,뱅크웨어글로벌,202506170900,20250618,5100,7250,41.77,196,1
129890,앱코,202508270900,20250828,890,1265,41.74,1123,1
000490,대동,202309040900,20230905,10580,15030,41.67,94,1
301300,바이브컴퍼니,202502030900,20250204,4780,6790,41.66,209,1
197140,디지캡,202408270900,20240828,2890,4105,41.65,346,1
424980,마이크로투나노,202504210900,20250422,5740,8150,41.59,174,1
085810,알티캐스트,202408130900,20240814,810,1150,41.58,1234,1
088340,유라클,202504030900,20250404,13950,19800,41.54,71,1
204840,지엘팜텍,202503280900,20250423,1002,1419,41.23,998,26
227950,엔투텍,202508070900,20250808,370,524,41.23,2702,1
291650,압타머사이언스,202505200900,20250521,1140,1614,41.19,877,1
089790,제이티,202509180900,20250923,4375,6190,41.1,228,5
192410,오늘이엔엠,202504160900,20250417,958,1355,41.05,1043,1
088390,이녹스,202507110900,20250714,7760,10970,40.98,128,3
170790,파이오링크,202509100900,20250930,8700,12290,40.87,114,20
014940,오리엔탈정공,202509080900,20250909,8780,12400,40.84,113,1
072950,빛샘전자,202401090900,20240110,4505,6360,40.79,221,1
331520,밸로프,202501230900,20250124,702,991,40.78,1424,1
190510,나무가,202601050900,20260106,17080,24100,40.71,58,1
187660,현대ADM,202508280900,20250829,2325,3280,40.69,430,1
413630,씨피시스템,202509080900,20250909,1855,2615,40.58,539,1
058450,한주에이알티,202505090900,20250512,965,1360,40.54,1036,3
039560,다산네트웍스,202307070900,20230710,5180,7300,40.54,193,3
122350,삼기,202601130900,20260114,1415,1994,40.53,706,1
040300,YTN,202511060900,20251107,2790,3930,40.47,358,1
052790,액토즈소프트,202311080900,20231109,7870,11080,40.4,127,1
032280,삼일,202412090900,20241210,1719,2420,40.39,581,1
189860,서전기전,202405280900,20240529,6000,8440,40.28,166,1
128540,에코캡,202601130900,20260114,1825,2565,40.16,547,1
078590,휴림에이텍,202510200900,20251021,484,680,40.11,2066,1
104040,대성파인텍,202505140900,20250515,914,1284,40.09,1094,1
053950,경남제약,202310310900,20231101,801,1125,40.06,1248,1
094860,네오리진,202507170900,20250718,1046,1469,40.05,956,1
054180,메디콕스,202407040900,20240705,8235,11550,39.87,121,1
024060,흥구석유,202406030900,20240604,12510,17520,39.66,79,1
001290,상상인증권,202602190900,20260220,1000,1400,39.61,1000,1
043100,알파AI,202402160900,20240219,2682,3753,39.55,372,3
066790,씨씨에스,202310310900,20231102,1977,2765,39.47,505,2
058450,한주에이알티,202409240900,20240925,2720,3800,39.32,367,1
363260,모비데이즈,202501140900,20250115,1815,2535,39.28,550,1
054620,APS,202308180900,20230821,8860,12370,39.23,112,3
012700,리드코프,202505150900,20250516,4000,5580,39.12,250,1
100590,머큐리,202309130900,20230914,6420,8950,39.02,155,1
103840,우양,202406070900,20240610,7030,9790,38.88,142,3
300080,플리토,202401180900,20240119,11189,15574,38.81,89,1
900110,이스트아시아홀딩스,202507040900,20250707,2750,3825,38.71,363,3
359090,씨엔알리서치,202404190900,20240422,1643,2285,38.69,608,3
376930,노을,202509170900,20250918,2583,3592,38.68,387,1
009780,엠에스씨,202410100900,20241011,5070,7050,38.67,197,1
043650,국순당,202406110900,20240612,5430,7550,38.66,184,1
046120,오르비텍,202506190900,20250620,3055,4245,38.57,327,1
457550,우진엔텍,202506190900,20250620,22600,31400,38.55,44,1
002800,신신제약,202407160900,20240717,5600,7780,38.55,178,1
