code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
095340,ISC,202307130900,20230714,63000,85400,35.18,15,1,148.7,58.2,8.0,35.0,17.5,15.0,10.0,-10.0
024060,흥구석유,202309120900,20230913,6100,8260,35.04,163,1,152.81,58.2,13.11,35.0,22.5,19.0,10.0,-5.0
011080,형지I&C,202412100900,20241211,859,1163,35.02,1164,1,141.1,54.6,8.0,35.0,22.5,15.0,10.0,-5.0
317850,대모,202407150900,20240723,9090,12300,34.94,110,8,144.39,56.4,0.0,40.49,17.5,15.0,5.0,10.0
247660,나노씨엠에스,202308070900,20230808,15290,20650,34.68,65,1,140.6,54.6,0.0,35.0,20.0,19.0,10.0,2.0
267320,나인테크,202502060900,20250212,2300,3105,34.63,434,6,154.77,47.0,16.67,30.1,20.0,15.0,10.0,2.0
053580,웹케시,202412120900,20241216,10070,13590,34.58,99,4,153.62,56.4,16.0,35.0,24.22,17.0,10.0,-5.0
001250,GS글로벌,202406210900,20240624,2490,3360,34.57,401,3,149.53,54.6,2.43,35.0,22.5,15.0,10.0,-5.0
035080,그래디언트,202305170900,20230518,15530,20900,34.21,64,1,141.89,50.0,9.09,21.3,22.5,19.0,10.0,-5.0
236810,엔비티,202506260900,20250627,3130,4210,34.13,319,1,141.2,58.2,8.0,35.0,20.0,15.0,10.0,-5.0
052400,코나아이,202506050900,20250609,61500,82600,33.94,16,4,145.66,60.0,6.66,35.0,25.0,15.0,10.0,-15.0
151860,KG에코솔루션,202304190900,20230420,20700,27700,33.45,48,1,145.03,54.03,0.0,35.0,20.0,19.0,10.0,-8.0
190510,나무가,202401240900,20240129,16190,21650,33.36,61,5,149.8,48.0,2.3,35.0,22.5,17.0,10.0,0.0
078140,대봉엘에스,202307280900,20230731,10640,14220,33.28,93,3,141.5,60.0,0.0,35.0,22.5,19.0,10.0,-5.0
052400,코나아이,202412090900,20241210,19800,26450,33.22,50,1,146.16,60.0,14.66,35.0,22.5,15.0,10.0,-25.0
121850,코이즈,202412100900,20241211,18479,24583,32.66,54,1,143.7,58.2,8.0,35.0,22.5,15.0,10.0,-5.0
011080,형지I&C,202503310900,20250401,1071,1413,31.57,933,1,149.4,56.4,8.0,35.0,25.0,19.0,10.0,-5.0
348350,위드텍,202306210900,20230622,14970,19670,31.03,66,1,140.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
091580,상신이디피,202303030900,20230306,18730,24600,30.98,53,3,147.7,58.2,0.0,35.0,22.5,15.0,10.0,-8.0
234300,에스트래픽,202306210900,20230622,5240,6880,30.93,190,1,145.05,60.0,7.55,35.0,17.5,15.0,10.0,-15.0
092870,엑시콘,202403120900,20240313,21911,28752,30.86,45,1,144.83,60.0,6.33,35.0,22.5,15.0,10.0,-8.0
403870,HPSP,202303200900,20230321,18600,24400,30.82,53,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
041020,폴라리스오피스,202303170900,20230320,2925,3830,30.58,341,3,144.61,56.61,16.0,35.0,20.0,15.0,10.0,-8.0
053950,경남제약,202311070900,20231108,1144,1498,30.58,874,1,140.82,56.4,2.42,35.0,20.0,15.0,10.0,2.0
115610,이미지스,202309250900,20230926,2965,3882,30.57,337,1,149.5,60.0,0.0,35.0,22.5,15.0,10.0,-8.0
138070,신진에스엠,202404150900,20240417,2890,3780,30.43,346,2,146.2,58.2,2.0,45.35,20.0,9.65,10.0,0.0
299660,셀리드,202408050900,20240806,4956,6475,30.29,201,1,148.2,58.2,8.0,35.0,20.0,15.0,10.0,2.0
130500,GH신소재,202408140900,20240816,3000,3915,30.14,333,2,145.2,58.2,8.0,35.0,20.0,19.0,10.0,-5.0
376900,로킷헬스케어,202511170900,20251118,43600,56700,29.69,22,1,144.64,60.0,14.14,35.0,22.5,15.0,10.0,-20.0
317330,덕산테코피아,202403040900,20240305,29500,38350,29.64,33,1,143.67,60.0,7.67,35.0,20.0,15.0,10.0,-8.0
058970,엠로,202303150900,20230316,30200,39250,29.61,33,1,147.53,51.42,8.0,35.0,14.11,17.0,10.0,0.0
900340,윙입푸드,202403070900,20240308,1435,1865,29.61,696,1,141.0,60.0,4.0,35.0,20.0,17.0,10.0,-5.0
036560,KZ정밀,202409130900,20240919,12180,15830,29.61,82,6,148.17,49.2,8.0,35.0,13.97,17.0,10.0,10.0
065170,비엘팜텍,202502260900,20250227,1445,1878,29.61,692,1,146.5,60.0,0.0,35.0,22.5,17.0,10.0,2.0
113810,디젠스,202412110900,20241212,1275,1657,29.6,784,1,142.0,51.0,8.0,35.0,20.0,17.0,5.0,2.0
072470,우리산업홀딩스,202402160900,20240219,4550,5910,29.53,219,3,140.46,54.6,3.58,35.0,18.28,17.0,10.0,2.0
205500,넥써쓰,202412120900,20241213,1544,2005,29.5,647,1,147.49,52.8,12.69,35.0,25.0,20.0,10.0,-8.0
025870,신라에스지,202412090900,20241210,6010,7800,29.42,166,1,140.7,56.4,4.3,35.0,25.0,15.0,10.0,-5.0
059100,아이컴포넌트,202312220900,20231226,6380,8280,29.42,156,4,143.5,60.0,0.0,35.0,22.5,15.0,10.0,-5.0
035620,바른손이앤에이,202506110900,20250623,445,577,29.3,2247,12,147.0,48.0,2.0,35.0,25.0,17.0,10.0,10.0
053580,웹케시,202504030900,20250404,11230,14550,29.21,89,1,154.0,60.0,8.0,35.0,20.0,15.0,10.0,2.0
147830,제룡산업,202406210900,20240624,7750,10000,28.68,129,3,148.0,60.0,0.0,35.0,20.0,15.0,10.0,2.0
115500,케이씨에스,202303090900,20230310,7600,9790,28.46,131,1,150.74,60.0,8.74,35.0,25.0,15.0,10.0,-15.0
088290,이원컴포텍,202407160900,20240717,1565,2015,28.4,638,1,140.47,52.8,7.67,35.0,25.0,15.0,10.0,-5.0
088340,유라클,202504070900,20250408,26050,33500,28.24,38,1,140.69,60.0,1.69,35.0,20.0,15.0,10.0,-5.0
050090,비케이홀딩스,202504100900,20250411,612,787,28.24,1633,1,140.72,51.0,8.0,35.0,7.72,19.0,10.0,10.0
050120,ES큐브,202408300900,20240902,1867,2400,28.19,535,3,140.26,51.0,9.26,35.0,20.0,15.0,10.0,-15.0
065770,CS,202412100900,20241211,2280,2930,28.15,438,1,140.0,60.0,0.0,35.0,25.0,15.0,10.0,-5.0
049950,미래컴퍼니,202302280900,20230302,23900,30700,28.1,41,2,143.0,60.0,8.0,35.0,20.0,15.0,10.0,-8.0
037440,희림,202310240900,20231025,7920,10170,28.05,126,1,150.2,58.2,0.0,35.0,20.0,19.0,10.0,0.0
457550,우진엔텍,202405270900,20240528,36900,47250,27.69,27,1,147.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
016670,디모아,202504020900,20250403,4690,6000,27.58,213,1,140.31,60.0,8.0,35.0,20.31,15.0,10.0,-8.0
039030,이오테크닉스,202307270900,20230728,122600,156100,26.97,8,1,155.18,56.35,9.83,35.0,20.0,19.0,10.0,-10.0
013310,아진산업,202305110900,20230516,4449,5656,26.78,224,5,143.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
047560,이스트소프트,202305230900,20230524,12400,15750,26.66,80,1,147.51,58.2,14.81,35.0,22.5,15.0,10.0,-8.0
063080,컴투스홀딩스,202312060900,20231207,35600,45200,26.61,28,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
158430,아톤,202411190900,20241120,4710,5980,26.61,212,1,143.5,60.0,8.0,35.0,22.5,15.0,10.0,-15.0
205500,넥써쓰,202412260900,20241227,2355,2990,26.61,424,1,142.19,60.0,4.69,35.0,22.5,15.0,10.0,-5.0
024910,경창산업,202305100900,20230511,2450,3110,26.59,408,1,147.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
296640,이노룰스,202412090900,20241210,5400,6850,26.5,185,1,141.7,58.2,0.0,35.0,17.5,19.0,10.0,2.0
208710,포톤,202306280900,20230629,4980,6310,26.36,200,1,145.2,58.2,8.0,35.0,20.0,15.0,10.0,-8.0
383310,에코프로에이치엔,202403180900,20240319,67975,86114,26.33,14,1,152.7,58.2,0.0,35.0,17.5,15.0,10.0,2.0
123330,제닉,202409110900,20240912,13820,17500,26.28,72,1,143.5,60.0,16.0,35.0,22.5,15.0,10.0,-15.0
002900,TYM,202411120900,20241113,3680,4660,26.28,271,1,153.2,58.2,8.0,35.0,20.0,15.0,10.0,-8.0
094480,갤럭시아머니트리,202311290900,20231130,6700,8480,26.22,149,1,142.56,60.0,8.06,35.0,22.5,15.0,10.0,-8.0
047770,코데즈컴바인,202304200900,20230421,2190,2770,26.13,456,1,150.5,60.0,8.0,35.0,22.5,19.0,10.0,-15.0
032820,우리기술,202506160900,20250617,2780,3510,25.91,359,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
047770,코데즈컴바인,202508120900,20250813,1960,2470,25.67,510,1,144.5,60.0,8.0,35.0,17.5,19.0,10.0,-5.0
047310,파워로직스,202308140900,20230816,16000,20150,25.59,62,2,142.0,60.0,0.0,35.0,20.0,15.0,10.0,2.0
204840,지엘팜텍,202307210900,20230724,850,1070,25.53,1176,3,144.78,52.8,14.48,35.0,22.5,15.0,10.0,-5.0
307870,비투엔,202308220900,20230823,3645,4585,25.44,274,1,142.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
067160,SOOP,202312060900,20231207,64700,81300,25.31,15,1,141.61,49.2,2.91,35.0,17.5,15.0,5.0,2.0
039340,한국경제TV,202303080900,20230309,6050,7600,25.27,165,1,144.0,60.0,0.0,35.0,25.0,15.0,10.0,-15.0
094860,네오리진,202407260900,20240729,1484,1864,25.26,673,3,141.3,52.8,0.0,35.0,22.5,19.0,10.0,2.0
204270,제이앤티씨,202502120900,20250213,22850,28700,25.25,43,1,147.7,58.2,0.0,35.0,22.5,15.0,10.0,-8.0
148780,비큐AI,202301260900,20230127,1390,1740,24.83,719,1,140.0,60.0,0.0,35.0,25.0,15.0,10.0,-5.0
002780,진흥기업,202603190900,20260320,835,1045,24.8,1197,1,140.2,58.2,0.0,35.0,25.0,17.0,10.0,-5.0
281740,레이크머티리얼즈,202306130900,20230615,18110,22650,24.72,55,2,140.7,58.2,0.0,35.0,22.5,15.0,10.0,-15.0
010820,퍼스텍,202602200900,20260223,5360,6700,24.65,186,3,140.0,60.0,0.0,35.0,20.0,15.0,10.0,-15.0
147830,제룡산업,202404260900,20240429,4065,5080,24.62,246,3,148.5,60.0,8.0,35.0,22.5,15.0,10.0,-8.0
050960,수산아이앤티,202412100900,20241211,19210,24000,24.59,52,1,140.2,58.2,0.0,35.0,20.0,15.0,10.0,2.0
452160,제이엔비,202404150900,20240416,15750,19620,24.23,63,1,152.0,60.0,8.0,35.0,25.0,19.0,10.0,-5.0
035420,NAVER,202506180900,20250619,204500,254500,24.11,4,1,156.43,58.2,5.73,35.0,22.5,19.0,10.0,-8.0
