code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
050960,수산아이앤티,202412090900,20241210,11000,19210,74.16,90,1
405000,플라즈맵,202505130900,20250514,7800,13180,68.51,128,1
044480,빌리언스,202508060900,20250807,303,510,67.86,3300,1
064850,에프앤가이드,202409230900,20240924,23000,38450,66.72,43,1
438700,버넥트,202502170900,20250218,3190,5330,66.63,313,1
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3
065350,신성델타테크,202308010900,20230802,15650,25600,63.13,63,1
034120,SBS,202412200900,20241223,15440,25050,61.8,64,3
109960,앱토크롬,202508110900,20250812,359,582,61.67,2785,1
109960,앱토크롬,202304260900,20230427,1278,2055,60.36,782,1
136480,하림,202312190900,20231221,3665,5890,60.27,272,2
106080,케이이엠텍,202510230900,20251024,1369,2200,60.26,730,1
086820,바이오솔루션,202308240900,20230825,3333,5354,60.2,300,1
044340,위닉스,202501100900,20250113,4995,8000,59.72,200,3
193250,링크드,202504090900,20250410,428,682,58.91,2336,1
294630,서남,202402140900,20240215,5050,7980,57.59,198,1
011080,형지I&C,202412090900,20241210,546,859,56.89,1831,1
047310,파워로직스,202308110900,20230814,10180,16000,56.74,98,3
121850,코이즈,202412090900,20241210,11775,18479,56.5,84,1
002630,오리엔트바이오,202412090900,20241210,650,1020,56.49,1538,1
255220,SG,202403140900,20240315,1578,2468,55.97,633,1
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4
069920,엑시온그룹,202503250900,20250326,828,1293,55.73,1207,1
263920,휴엠앤씨,202304270900,20230428,5903,9215,55.68,169,1
000540,흥국화재,202602200900,20260223,4450,6900,54.63,224,3
065500,오리엔트정공,202412090900,20241210,2710,4185,54.0,369,1
042040,케이피엠테크,202304060900,20230411,464,715,53.67,2155,5
089850,유비벨록스,202504250900,20250428,6060,9320,53.37,165,3
065770,CS,202412090900,20241210,1487,2280,52.91,672,1
028080,휴맥스홀딩스,202504040900,20250407,2185,3350,52.9,457,3
025770,한국정보통신,202506120900,20250620,8300,12720,52.83,120,8
123330,제닉,202409040900,20240905,6800,10410,52.67,147,1
047560,이스트소프트,202401020900,20240108,15030,23000,52.61,66,6
187220,디티앤씨,202311200900,20231121,4000,6100,52.08,250,1
205500,넥써쓰,202412110900,20241212,1014,1544,51.85,986,1
290120,DH오토리드,202505300900,20250602,2705,4100,51.15,369,3
239340,이스트에이드,202504110900,20250414,1957,2960,50.84,510,3
032580,피델릭스,202305260900,20230530,1257,1900,50.74,795,4
096630,에스코넥,202303170900,20230320,1237,1867,50.51,808,3
900300,오가닉티코스메틱,202405280900,20240529,1080,1630,50.51,925,1
104040,대성파인텍,202504220900,20250423,826,1245,50.31,1210,1
043590,웰킵스하이텍,202303160900,20230317,1192,1796,50.26,838,1
014970,삼륭물산,202504230900,20250424,4200,6310,49.82,238,1
294630,서남,202308010900,20230802,5630,8450,49.68,177,1
009620,삼보산업,202412130900,20241216,1930,2890,49.33,518,3
198440,강동씨앤엘,202406050900,20240607,1654,2465,48.62,604,2
208640,썸에이지,202508080900,20250811,430,640,48.43,2325,3
235980,메드팩토,202511100900,20251111,4900,7290,48.37,204,1
317770,엑스페릭스,202504180900,20250421,4400,6540,48.23,227,3
052860,아이앤씨,202412100900,20241211,1742,2580,47.7,574,1
