code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
043100,알파AI,202410020900,20241004,1891,2907,53.31,528,2,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
250930,예선테크,202408060900,20240807,489,740,50.91,2044,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
250930,예선테크,202509030900,20250904,426,624,46.08,2347,1,134,70.0,30.0,30.0,0.0,4.0,0.0,0.0
065530,와이어블,202306270900,20230628,2080,2895,38.8,480,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
250930,예선테크,202510270900,20251028,430,595,37.99,2325,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
299900,위지윅스튜디오,202403120900,20240313,2465,3390,37.15,405,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
078590,휴림에이텍,202603180900,20260319,702,949,34.81,1424,1,107,50.0,30.0,0.0,25.0,2.0,0.0,0.0
290690,소룩스,202605130900,20260514,3175,4290,34.75,314,1,105,50.0,55.0,0.0,0.0,0.0,0.0,0.0
450140,코오롱모빌리티그룹,202401300900,20240131,2800,3780,34.63,357,1,135,60.0,30.0,30.0,25.0,0.0,0.0,-10.0
032800,판타지오,202605120900,20260513,1700,2275,33.45,588,1,159,70.0,55.0,30.0,0.0,4.0,0.0,0.0
047920,HLB제약,202411180900,20241119,17500,23300,32.78,57,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
254490,미래반도체,202408090900,20240812,10800,14130,30.47,92,3,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
099220,SDN,202409110900,20240912,1244,1600,28.26,803,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
050090,비케이홀딩스,202602200900,20260223,541,695,28.11,1848,3,159,70.0,55.0,30.0,0.0,4.0,0.0,0.0
058110,멕아이씨에스,202310250900,20231026,2300,2910,26.17,434,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
054620,APS,202305220900,20230523,9100,11500,26.02,109,1,113,53.0,30.0,30.0,0.0,0.0,0.0,0.0
092040,아미코젠,202505230900,20250526,2930,3620,23.21,341,3,139,50.0,30.0,30.0,25.0,4.0,0.0,0.0
047920,HLB제약,202301060900,20230109,10050,12400,23.04,99,3,134,60.0,15.0,30.0,25.0,4.0,0.0,0.0
047920,HLB제약,202503240900,20250325,18490,22550,21.62,54,1,120,60.0,30.0,30.0,0.0,0.0,0.0,0.0
416180,신성에스티,202405270900,20240528,26400,32150,21.44,37,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
043100,알파AI,202510150900,20251016,1373,1670,21.29,728,1,174,70.0,55.0,30.0,25.0,4.0,0.0,-10.0
348030,모비릭스,202307100900,20230711,8930,10850,21.16,111,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
234100,폴라리스세원,202310050900,20231006,1650,1997,20.69,606,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
099220,SDN,202407030900,20240704,1407,1699,20.42,710,1,134,50.0,30.0,25.0,25.0,4.0,0.0,0.0
212710,아이에스티이,202511260900,20251127,7790,9370,19.95,128,1,105,50.0,0.0,30.0,25.0,0.0,0.0,0.0
254490,미래반도체,202504100900,20250411,10580,12720,19.89,94,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
234100,폴라리스세원,202412100900,20241211,999,1200,19.79,1001,1,110,55.0,55.0,0.0,0.0,0.0,0.0,0.0
357580,아모센스,202604100900,20260413,13180,15820,19.7,75,3,118,43.0,55.0,30.0,0.0,0.0,0.0,-10.0
389140,포바이포,202311010900,20231102,5991,7182,19.55,166,1,125,45.0,30.0,25.0,25.0,0.0,0.0,0.0
273060,와이즈버즈,202301030900,20230104,1195,1425,18.92,836,1,114,50.0,30.0,30.0,0.0,4.0,0.0,0.0
250930,예선테크,202303280900,20230329,883,1036,17.0,1132,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
035080,그래디언트,202310240900,20231025,10580,12390,16.78,94,1,95,70.0,0.0,0.0,25.0,0.0,0.0,0.0
900340,윙입푸드,202511190900,20251120,846,990,16.7,1182,1,129,70.0,0.0,30.0,25.0,4.0,0.0,0.0
253590,네오셈,202406050900,20240607,9500,11100,16.52,105,2,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
276040,스코넥,202512010900,20251202,1399,1630,16.19,714,1,137,60.0,22.72,30.0,25.0,0.0,0.0,0.0
088290,이원컴포텍,202306050900,20230607,4215,4885,15.57,237,2,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
033170,시그네틱스,202408060900,20240807,875,1012,15.34,1142,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
335810,프리시젼바이오,202605140900,20260515,1995,2305,15.22,501,1,130,60.0,55.0,15.0,0.0,0.0,0.0,0.0
348030,모비릭스,202504040900,20250407,3965,4570,14.94,252,3,115,70.0,30.0,15.0,0.0,0.0,0.0,0.0
205500,넥써쓰,202308100900,20230811,1728,1985,14.55,578,1,119,70.0,30.0,15.0,0.0,4.0,0.0,0.0
025900,동화기업,202601220900,20260123,8080,9280,14.53,123,1,120,63.0,25.0,5.0,25.0,2.0,0.0,0.0
224060,더코디,202409120900,20240913,3975,4565,14.52,251,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
034730,SK,202405300900,20240531,143300,164500,14.47,6,1,124,60.0,30.0,30.0,0.0,4.0,0.0,0.0
086900,메디톡스,202412100900,20241211,119800,137500,14.46,8,1,123,53.0,30.0,15.0,25.0,0.0,0.0,0.0
250930,예선테크,202412100900,20241211,327,375,14.36,3058,1,115,70.0,30.0,15.0,0.0,0.0,0.0,0.0
338220,뷰노,202411150900,20241118,22500,25800,14.35,44,3,134,70.0,34.09,30.0,0.0,0.0,0.0,0.0
276040,스코넥,202506250900,20250626,2805,3215,14.3,356,1,100,70.0,30.0,0.0,0.0,0.0,0.0,0.0
263720,디앤씨미디어,202504110900,20250414,15950,18270,14.23,62,3,124,60.0,30.0,30.0,0.0,4.0,0.0,0.0
