code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
050960,수산아이앤티,202412090900,20241210,11000,19210,74.16,90,1,127.1,54.6,0.0,35.0,2.5,15.0,10.0,10.0
405000,플라즈맵,202505130900,20250514,7800,13180,68.51,128,1,122.17,54.6,2.57,35.0,20.0,15.0,10.0,-15.0
064850,에프앤가이드,202409230900,20240924,23000,38450,66.72,43,1,146.5,60.0,0.0,35.0,22.5,15.0,10.0,-8.0
438700,버넥트,202502170900,20250218,3190,5330,66.63,313,1,147.0,60.0,0.0,35.0,25.0,15.0,10.0,2.0
019990,에너토크,202505230900,20250526,6260,10340,64.72,159,3,127.65,60.0,0.15,35.0,22.5,15.0,10.0,-15.0
065350,신성델타테크,202308010900,20230802,15650,25600,63.13,63,1,129.5,60.0,8.0,35.0,22.5,15.0,10.0,-25.0
044340,위닉스,202501090900,20250113,4900,8000,62.82,204,4,122.34,33.6,8.0,28.24,22.5,15.0,5.0,10.0
034120,SBS,202412200900,20241223,15440,25050,61.8,64,3,126.96,58.2,6.26,35.0,17.5,15.0,10.0,-15.0
109960,앱토크롬,202508110900,20250812,359,582,61.67,2785,1,129.57,58.2,0.0,35.0,9.38,15.0,10.0,2.0
086820,바이오솔루션,202308240900,20230825,3333,5354,60.2,300,1,124.36,47.4,11.96,35.0,20.0,15.0,5.0,-10.0
193250,링크드,202504090900,20250410,428,682,58.91,2336,1,122.6,45.6,0.0,35.0,20.0,15.0,5.0,2.0
294630,서남,202402140900,20240215,5050,7980,57.59,198,1,121.32,60.0,0.0,35.0,9.32,15.0,10.0,-8.0
047310,파워로직스,202308110900,20230814,10180,16000,56.74,98,3,124.0,60.0,0.0,35.0,20.0,15.0,10.0,-16.0
121850,코이즈,202412090900,20241210,11775,18479,56.5,84,1,133.64,54.6,8.0,35.0,16.04,15.0,10.0,-5.0
002630,오리엔트바이오,202412090900,20241210,650,1020,56.49,1538,1,134.52,60.0,8.0,35.0,21.52,15.0,10.0,-15.0
025770,한국정보통신,202506110900,20250620,8120,12720,56.22,123,9,124.88,50.0,9.44,24.94,17.5,15.0,10.0,-16.0
046970,우리로,202603230900,20260324,2925,4575,55.98,341,1,125.0,60.0,0.0,35.0,20.0,15.0,10.0,-15.0
255220,SG,202403140900,20240315,1578,2468,55.97,633,1,130.7,58.2,8.0,35.0,22.5,15.0,10.0,-18.0
052860,아이앤씨,202412090900,20241211,1650,2580,55.93,606,2,120.0,42.5,10.0,15.5,25.0,15.0,10.0,2.0
014910,성문전자,202605120900,20260513,1995,3100,54.96,501,1,120.2,58.2,0.0,35.0,20.0,15.0,10.0,-18.0
065500,오리엔트정공,202412090900,20241210,2710,4185,54.0,369,1,145.5,60.0,8.0,35.0,22.5,15.0,10.0,-5.0
089850,유비벨록스,202504250900,20250428,6060,9320,53.37,165,3,127.43,49.2,5.73,35.0,22.5,15.0,5.0,-5.0
037460,삼지전자,202605150900,20260518,38550,59200,53.14,25,3,136.73,60.0,0.0,35.0,20.0,21.73,10.0,-10.0
065770,CS,202412090900,20241210,1487,2280,52.91,672,1,135.7,58.2,0.0,35.0,22.5,15.0,10.0,-5.0
123330,제닉,202409040900,20240905,6800,10410,52.67,147,1,137.5,60.0,16.0,35.0,22.5,19.0,10.0,-25.0
047560,이스트소프트,202401020900,20240108,15030,23000,52.61,66,6,131.18,48.5,18.51,33.3,13.88,15.0,10.0,-8.0
136480,하림,202312200900,20231221,3860,5890,52.17,259,1,125.0,60.0,0.0,35.0,20.0,15.0,10.0,-15.0
187220,디티앤씨,202311200900,20231121,4000,6100,52.08,250,1,135.1,47.4,3.2,35.0,22.5,15.0,10.0,2.0
205500,넥써쓰,202412110900,20241212,1014,1544,51.85,986,1,135.79,45.6,12.69,35.0,22.5,15.0,5.0,0.0
290120,DH오토리드,202505300900,20250602,2705,4100,51.15,369,3,123.5,60.0,0.0,35.0,17.5,15.0,10.0,-15.0
239340,이스트에이드,202504110900,20250414,1957,2960,50.84,510,3,130.69,51.0,2.19,35.0,22.5,15.0,10.0,-5.0
032580,피델릭스,202305260900,20230530,1257,1900,50.74,795,4,137.09,51.0,1.09,35.0,20.0,15.0,5.0,-5.0
900300,오가닉티코스메틱,202405280900,20240529,1080,1630,50.51,925,1,125.29,60.0,8.0,35.0,5.29,15.0,10.0,-8.0
043590,웰킵스하이텍,202303160900,20230317,1192,1796,50.26,838,1,141.3,43.8,0.0,35.0,17.5,15.0,5.0,10.0
014100,메디앙스,202412110900,20241212,2390,3600,50.21,418,1,133.5,51.0,0.0,35.0,22.5,15.0,10.0,-5.0
014970,삼륭물산,202504230900,20250424,4200,6310,49.82,238,1,121.9,56.4,8.0,35.0,22.5,15.0,10.0,-25.0
004800,효성,202604270900,20260428,177000,265500,49.59,5,1,129.64,48.5,0.0,28.55,29.31,21.28,10.0,-8.0
331920,셀레믹스,202603300900,20260331,8260,12370,49.35,121,1,135.0,60.0,0.0,35.0,20.0,15.0,10.0,-20.0
009620,삼보산업,202412130900,20241216,1930,2890,49.33,518,3,124.41,56.4,7.01,35.0,20.0,19.0,10.0,-23.0
031860,디에이치엑스컴퍼니,202412020900,20241203,932,1393,49.05,1072,1,123.3,43.8,0.0,35.0,22.5,15.0,5.0,2.0
198440,강동씨앤엘,202406050900,20240607,1654,2465,48.62,604,2,131.0,51.0,0.0,35.0,25.0,15.0,10.0,-5.0
208640,썸에이지,202508080900,20250811,430,640,48.43,2325,3,120.5,60.0,8.0,35.0,22.5,15.0,10.0,-30.0
235980,메드팩토,202511100900,20251111,4900,7290,48.37,204,1,136.54,56.4,8.14,35.0,20.0,15.0,10.0,-8.0
060480,국일신동,202308070900,20230808,3195,4750,48.26,312,1,120.2,58.2,0.0,35.0,25.0,15.0,10.0,-23.0
008830,대동기어,202309070900,20230908,6740,9980,47.66,148,1,128.7,58.2,8.0,35.0,22.5,19.0,10.0,-25.0
065500,오리엔트정공,202503310900,20250402,9630,14250,47.57,103,2,140.0,60.0,8.0,35.0,20.0,15.0,10.0,-8.0
201490,미투온,202506120900,20250613,2540,3755,47.43,393,1,138.0,60.0,8.0,35.0,25.0,15.0,10.0,-15.0
460930,현대힘스,202411070900,20241108,10360,15310,47.37,96,1,134.9,47.4,8.0,35.0,22.5,15.0,5.0,2.0
900290,GRT,202410210900,20241022,3675,5430,47.35,272,1,140.0,60.0,0.0,35.0,20.0,15.0,10.0,0.0
006260,LS,202307250900,20230726,93500,138000,47.19,10,1,149.5,60.0,8.0,35.0,22.5,15.0,10.0,-10.0
003960,사조대림,202406140900,20240617,47450,70000,47.12,21,3,143.0,60.0,0.0,35.0,25.0,15.0,10.0,-15.0
033170,시그네틱스,202510020900,20251010,746,1099,46.91,1340,8,133.44,60.0,5.94,35.0,22.5,15.0,10.0,-15.0
039740,한국정보공학,202603270900,20260330,3500,5150,46.74,285,3,122.5,60.0,0.0,35.0,22.5,15.0,10.0,-25.0
018000,유니슨,202306070900,20230608,1437,2113,46.64,695,1,131.8,52.8,0.0,35.0,20.0,19.0,10.0,-5.0
114450,그린생명과학,202408080900,20240809,1905,2800,46.58,524,1,129.5,51.0,16.0,35.0,17.5,15.0,10.0,-15.0
131100,티엔엔터테인먼트,202311300900,20231212,2045,3005,46.54,488,12,125.0,34.5,8.0,35.0,22.5,15.0,10.0,0.0
239610,에이치엘사이언스,202409130900,20240919,13210,19370,46.23,75,6,134.0,51.0,8.0,35.0,20.0,15.0,10.0,-5.0
348350,위드텍,202506190900,20250620,7880,11550,46.17,126,1,133.0,60.0,0.0,35.0,20.0,15.0,10.0,-8.0
000950,전방,202506120900,20250613,32800,48050,46.09,30,1,127.5,60.0,0.0,35.0,22.5,15.0,10.0,-15.0
052300,오션인더블유,202312110900,20231212,4600,6730,45.9,217,1,129.46,60.0,4.46,35.0,20.0,15.0,10.0,-15.0
188260,세니젠,202408190900,20240820,3210,4695,45.86,311,1,131.0,49.2,4.3,35.0,22.5,15.0,10.0,-5.0
000540,흥국화재,202401310900,20240202,3390,4950,45.62,294,2,132.96,54.6,8.0,35.0,8.36,15.0,10.0,2.0
290120,DH오토리드,202601120900,20260114,2640,3855,45.62,378,2,130.66,60.0,0.0,35.0,9.66,15.0,10.0,0.0
016360,삼성증권,202605040900,20260506,110400,161100,45.52,9,2,130.74,60.0,0.0,35.0,18.74,15.0,10.0,-8.0
101680,한국정밀기계,202401030900,20240104,2770,4040,45.45,361,1,120.2,60.0,0.0,35.0,15.2,15.0,10.0,-15.0
043590,웰킵스하이텍,202507170900,20250718,624,910,45.43,1602,1,123.6,54.6,0.0,35.0,20.0,19.0,10.0,-15.0
103840,우양,202405280900,20240610,6720,9790,45.28,148,13,127.26,60.0,0.0,35.0,8.25,19.0,10.0,-5.0
299660,셀리드,202408080900,20240812,5249,7647,45.28,190,4,147.12,60.0,8.0,35.0,9.12,15.0,10.0,10.0
096250,와이즈넛,202411220900,20241125,14464,21069,45.26,69,3,136.97,60.0,6.97,35.0,5.0,15.0,10.0,0.0
257720,실리콘투,202405070900,20240510,15110,22000,45.2,66,3,132.07999999999998,44.31,12.77,35.0,20.0,15.0,10.0,-20.0
189690,포시에스,202401180900,20240119,2745,3995,45.14,364,1,137.4,56.4,0.0,35.0,20.0,15.0,10.0,-5.0
424980,마이크로투나노,202409260900,20240927,6640,9660,45.08,150,1,133.1,45.6,0.0,35.0,22.5,15.0,5.0,10.0
085670,뉴프렉스,202401250900,20240129,8370,12170,45.0,119,4,130.95999999999998,60.0,0.0,35.0,9.96,17.0,10.0,-16.0
267320,나인테크,202308180900,20230821,4185,6080,44.88,238,3,141.04,58.2,5.34,35.0,22.5,15.0,10.0,-5.0
036480,대성미생물,202310200900,20231023,10010,14530,44.76,99,3,137.5,60.0,0.0,35.0,17.5,15.0,10.0,0.0
177350,베셀,202509040900,20250905,978,1418,44.59,1022,1,127.78,54.6,1.68,35.0,22.5,19.0,10.0,-15.0
340810,시선AI,202506040900,20250605,4005,5800,44.42,249,1,125.32,45.32,0.0,35.0,20.0,15.0,10.0,0.0
089150,케이씨티,202505230900,20250526,2650,3835,44.32,377,3,124.86,58.2,1.66,35.0,20.0,15.0,10.0,-15.0
009780,엠에스씨,202306300900,20230703,5840,8450,44.29,171,3,139.1,50.0,10.0,32.1,20.0,19.0,10.0,-15.0
065370,위세아이텍,202504070900,20250408,7880,11400,44.27,126,1,140.38,60.0,0.0,35.0,6.38,19.0,10.0,10.0
208710,포톤,202509260900,20250929,2200,3180,44.15,454,3,137.2,58.2,8.0,35.0,20.0,19.0,10.0,-15.0
064850,에프앤가이드,202409130900,20240920,13250,19150,44.13,75,7,134.5,60.0,0.0,35.0,17.5,15.0,10.0,-15.0
079950,인베니아,202601120900,20260113,5150,7440,44.07,194,1,125.0,60.0,0.0,35.0,20.0,15.0,10.0,-15.0
032580,피델릭스,202312080900,20231211,1382,1992,43.74,723,3,132.79000000000002,49.2,1.09,35.0,22.5,15.0,10.0,-15.0
229000,젠큐릭스,202601090900,20260112,1527,2200,43.68,654,3,126.0,60.0,0.0,35.0,20.0,19.0,10.0,-18.0
013720,THE CUBE&,202601120900,20260113,663,955,43.65,1508,1,120.85,38.0,0.0,33.85,20.0,19.0,10.0,0.0
115530,씨엔플러스,202403150900,20240318,268,386,43.63,3731,3,126.23,42.0,0.0,29.73,17.5,15.0,5.0,2.0
