code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days
227950,엔투텍,202508070900,20250808,370,524,41.23,2702,1
052770,아이톡시,202601120900,20260113,1223,1730,41.07,817,1
192410,오늘이엔엠,202504160900,20250417,958,1355,41.05,1043,1
088390,이녹스,202507110900,20250714,7760,10970,40.98,128,3
014940,오리엔탈정공,202509080900,20250909,8780,12400,40.84,113,1
190510,나무가,202601050900,20260106,17080,24100,40.71,58,1
187660,현대ADM,202508280900,20250829,2325,3280,40.69,430,1
413630,씨피시스템,202509080900,20250909,1855,2615,40.58,539,1
170790,파이오링크,202509050900,20250930,8720,12290,40.55,114,25
058450,한주에이알티,202505090900,20250512,965,1360,40.54,1036,3
317830,에스피시스템스,202508260900,20250827,6770,9540,40.53,147,1
001510,SK증권,202602190900,20260220,1448,2040,40.5,690,1
040300,YTN,202511060900,20251107,2790,3930,40.47,358,1
032280,삼일,202412090900,20241210,1719,2420,40.39,581,1
078590,휴림에이텍,202510200900,20251021,484,680,40.11,2066,1
094860,네오리진,202507170900,20250718,1046,1469,40.05,956,1
054180,메디콕스,202407040900,20240705,8235,11550,39.87,121,1
001290,상상인증권,202602190900,20260220,1000,1400,39.61,1000,1
200130,콜마비앤에이치,202508200900,20250821,13880,19400,39.38,72,1
013810,스페코,202408050900,20240807,3610,5040,39.23,277,2
012700,리드코프,202505150900,20250516,4000,5580,39.12,250,1
290090,트윔,202507010900,20250716,8370,11670,39.04,119,15
052420,오성첨단소재,202509030900,20250904,1435,1996,38.71,696,1
376930,노을,202509170900,20250918,2583,3592,38.68,387,1
009780,엠에스씨,202410100900,20241011,5070,7050,38.67,197,1
317240,TS트릴리온,202601120900,20260113,374,520,38.65,2673,1
046120,오르비텍,202506190900,20250620,3055,4245,38.57,327,1
002800,신신제약,202407160900,20240717,5600,7780,38.55,178,1
047310,파워로직스,202601140900,20260115,4330,6010,38.42,230,1
192410,오늘이엔엠,202504140900,20250415,856,1187,38.29,1168,1
043100,알파AI,202510160900,20251017,1670,2315,38.24,598,1
215790,이노인스트루먼트,202511030900,20251104,523,725,38.24,1912,1
045660,에이텍,202504010900,20250402,28650,39700,38.19,34,1
250930,예선테크,202510270900,20251028,430,595,37.99,2325,1
025950,동신건설,202504010900,20250402,47300,65400,37.88,21,1
241690,유니테크노,202511110900,20251112,3100,4285,37.84,322,1
223310,사토시홀딩스,202506230900,20250624,3100,4280,37.68,322,1
089790,제이티,202509220900,20250923,4495,6190,37.33,222,1
004960,한신공영,202512030900,20251204,8500,11700,37.27,117,1
046390,삼화네트웍스,202508190900,20250820,1238,1704,37.26,807,1
002630,오리엔트바이오,202504010900,20250402,1584,2180,37.25,631,1
128540,에코캡,202601120900,20260114,1864,2565,37.23,536,2
308100,형지글로벌,202503310900,20250401,3533,4861,37.21,283,1
007370,진양제약,202408160900,20240820,5490,7550,37.14,182,4
045970,코아시아,202507280900,20250729,3790,5210,37.09,263,1
011080,형지I&C,202504020900,20250403,1758,2415,36.99,568,1
054540,삼영엠텍,202508280900,20250901,6570,9020,36.91,152,4
108490,로보티즈,202506230900,20250624,59889,82189,36.86,16,1
002800,신신제약,202309210900,20230922,4955,6800,36.86,201,1
364950,에이아이코리아,202509250900,20250926,9000,12350,36.84,111,1
215790,이노인스트루먼트,202511110900,20251112,605,830,36.81,1652,1
217330,싸이토젠,202510100900,20251013,2800,3840,36.76,357,3
106080,케이이엠텍,202410100900,20241011,3963,5433,36.71,252,1
