code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
114450,그린생명과학,202408080900,20240809,1905,2800,46.58,524,1,111,64.99,0.0,17.0,15.0,15.0,0.0,0.0
064520,테크엘,202512020900,20251203,1468,2090,41.98,681,1,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
043100,알파AI,202410150900,20241016,2096,2833,34.79,477,1,97,54.9,0.0,21.0,15.0,7.0,0.0,0.0
114450,그린생명과학,202408140900,20240816,2980,3930,31.51,335,2,92,45.05,0.0,17.0,15.0,15.0,0.0,0.0
340810,시선AI,202601190900,20260122,2690,3500,29.75,371,3,90,40.0,0.0,12.0,23.92,15.0,0.0,0.0
246720,아스타,202506240900,20250625,4080,5250,28.32,245,1,91,50.0,0.0,21.0,15.0,15.0,0.0,-10.0
258610,케일럼,202304100900,20230412,2420,3020,24.45,413,2,97,50.0,0.0,17.0,15.0,15.0,0.0,0.0
043100,알파AI,202402050900,20240206,2477,2968,19.49,403,1,101,50.0,0.0,21.0,15.0,15.0,0.0,0.0
355390,크라우드웍스,202411260900,20241127,5164,6165,19.05,193,1,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
160980,싸이맥스,202601190900,20260202,15050,17610,16.68,66,14,113,61.67,0.0,28.0,15.0,9.0,0.0,0.0
206560,덱스터,202412240900,20241226,8580,9980,15.99,116,2,96,49.8,0.0,17.0,15.0,15.0,0.0,0.0
432430,와이랩,202604100900,20260427,3015,3460,14.44,331,17,95,57.38,0.0,6.0,25.0,7.0,0.0,0.0
299900,위지윅스튜디오,202304140900,20230417,3905,4475,14.28,256,3,94,50.0,0.0,14.0,15.0,15.0,0.0,0.0
224060,더코디,202307310900,20230801,5640,6450,14.04,177,1,90,47.26,0.0,21.0,15.0,7.0,0.0,0.0
007330,푸른저축은행,202604220900,20260515,10590,11990,12.9,94,23,97,40.0,0.0,27.0,25.0,5.0,0.0,0.0
009620,삼보산업,202308250900,20230828,4657,5247,12.36,214,3,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
439580,블루엠텍,202405300900,20240531,4135,4639,11.88,241,1,90,58.75,0.0,2.0,15.0,15.0,0.0,0.0
338220,뷰노,202411250900,20241126,24850,27800,11.56,40,1,93,54.35,0.0,9.0,15.0,15.0,0.0,0.0
083660,CSA 코스믹,202411200900,20241121,890,994,11.37,1123,1,92,45.0,0.0,17.0,15.0,15.0,0.0,0.0
041190,우리기술투자,202601230900,20260202,7240,8080,11.29,138,10,99,56.39,0.0,6.0,25.0,12.0,0.0,0.0
261780,차백신연구소,202308180900,20230821,4990,5550,10.91,200,3,90,54.91,0.0,21.0,0.0,15.0,0.0,0.0
453860,에이에스텍,202604140900,20260424,13710,15230,10.78,72,10,101,59.43,0.0,9.0,25.0,8.0,0.0,0.0
092870,엑시콘,202406280900,20240701,17570,19480,10.56,56,3,91,60.56,0.0,9.0,15.0,7.0,0.0,0.0
025900,동화기업,202307280900,20230802,14738,16300,10.29,67,5,90,58.49,0.0,2.0,15.0,15.0,0.0,0.0
263810,상신전자,202308230900,20230824,4515,4990,10.21,221,1,94,47.8,0.0,17.0,15.0,15.0,0.0,0.0
065500,오리엔트정공,202309270900,20231005,1234,1362,10.07,810,8,92,45.0,0.0,17.0,15.0,15.0,0.0,0.0
036710,심텍홀딩스,202601230900,20260202,2360,2600,9.86,423,10,93,54.24,0.0,9.0,23.5,7.0,0.0,0.0
263810,상신전자,202308180900,20230821,4355,4795,9.8,229,3,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
226400,오스테오닉,202303290900,20230330,3710,4060,9.13,269,1,93,54.06,0.0,17.0,15.0,7.0,0.0,0.0
065440,이루온,202504040900,20250417,1362,1489,9.02,734,13,94,40.0,0.0,21.0,25.0,8.0,0.0,0.0
036930,주성엔지니어링,202410290900,20241031,26950,29450,8.97,37,2,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
261780,차백신연구소,202404180900,20240419,4580,4990,8.65,218,1,98,61.06,0.0,14.0,15.0,8.0,0.0,0.0
321260,프로이천,202405280900,20240529,2580,2810,8.61,387,1,94,54.38,0.0,10.0,15.0,15.0,0.0,0.0
007770,한일화학,202412110900,20241217,10800,11740,8.4,92,6,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
335810,프리시젼바이오,202401220900,20240125,5320,5770,8.16,187,3,92,45.0,0.0,17.0,15.0,15.0,0.0,0.0
067000,조이시티,202511260900,20251127,1891,2045,7.84,528,1,91,44.78,0.0,17.0,15.0,15.0,0.0,0.0
170790,파이오링크,202306230900,20230626,14500,15670,7.77,68,3,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
301300,바이브컴퍼니,202307310900,20230801,7950,8590,7.75,125,1,92,62.28,0.0,6.0,15.0,9.0,0.0,0.0
222980,한국맥널티,202511260900,20251208,3140,3385,7.5,318,12,90,60.08,0.0,5.0,25.0,0.0,0.0,0.0
035080,그래디언트,202502180900,20250331,12220,13170,7.47,81,41,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
376930,노을,202503190900,20250320,2523,2704,6.88,396,1,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
239610,에이치엘사이언스,202409120900,20240913,12330,13210,6.84,81,1,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
034730,SK,202405310900,20240603,164500,176200,6.81,6,3,96,45.0,0.0,21.0,15.0,15.0,0.0,0.0
342870,오아,202604150900,20260423,6490,6950,6.79,154,8,108,62.25,0.0,12.0,25.0,9.0,0.0,0.0
389140,포바이포,202311030900,20231108,7973,8522,6.59,125,5,96,50.0,0.0,6.0,25.0,15.0,0.0,0.0
078600,대주전자재료,202506200900,20250701,67200,71800,6.55,14,11,90,57.96,0.0,6.0,25.0,2.0,0.0,0.0
192250,케이사인,202504290900,20250430,9180,9780,6.24,108,1,90,54.98,0.0,21.0,0.0,15.0,0.0,0.0
434480,모니터랩,202604080900,20260414,3375,3595,6.22,296,6,91,57.7,0.0,9.0,25.0,0.0,0.0,0.0
275630,에스에스알,202408090900,20240813,3310,3520,6.05,302,4,90,62.84,0.0,5.0,15.0,8.0,0.0,0.0
078340,컴투스,202410300900,20241101,39850,42200,5.6,25,2,94,53.93,0.0,17.0,15.0,9.0,0.0,0.0
228760,지노믹트리,202604130900,20260420,16670,17650,5.58,59,7,94,56.67,0.0,6.0,25.0,7.0,0.0,0.0
001000,신라섬유,202304130900,20230420,1753,1855,5.52,570,7,91,64.49,0.0,5.0,15.0,7.0,0.0,0.0
044780,에이치케이,202305160900,20230601,1811,1911,5.23,552,16,91,58.27,0.0,9.0,15.0,9.0,0.0,0.0
352700,씨앤투스,202408080900,20240814,2890,3040,4.9,346,6,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
376930,노을,202403200900,20240321,2685,2824,4.88,372,1,93,57.63,0.0,6.0,15.0,15.0,0.0,0.0
054620,APS,202509030900,20250916,4425,4650,4.79,225,13,102,63.21,0.0,9.0,15.0,15.0,0.0,0.0
192440,슈피겐코리아,202305090900,20230530,31650,33250,4.76,31,21,91,59.37,0.0,10.0,15.0,7.0,0.0,0.0
373160,데이원컴퍼니,202508270900,20250909,5950,6250,4.75,168,13,90,58.81,0.0,5.0,15.0,12.0,0.0,0.0
044780,에이치케이,202504100900,20250418,1050,1100,4.47,952,8,93,60.17,0.0,9.0,15.0,9.0,0.0,0.0
038110,에코플라스틱,202603200900,20260323,2955,3095,4.45,338,3,95,40.0,0.0,15.0,25.0,15.0,0.0,0.0
299900,위지윅스튜디오,202311080900,20231110,3085,3230,4.41,324,2,100,49.91,0.0,21.0,15.0,15.0,0.0,0.0
079650,서산,202601260900,20260211,1355,1418,4.36,738,16,96,59.71,0.0,9.0,20.55,7.0,0.0,0.0
073110,엘엠에스,202412120900,20250131,6110,6390,4.29,163,50,91,54.41,0.0,14.0,15.0,8.0,0.0,0.0
054780,키이스트,202601260900,20260127,2920,3050,4.16,342,1,100,60.04,0.0,6.0,25.0,9.0,0.0,0.0
224060,더코디,202307240900,20230725,6320,6600,4.14,158,1,95,44.99,0.0,21.0,15.0,15.0,0.0,0.0
071280,로체시스템즈,202303240900,20230328,8510,8860,3.82,117,4,95,40.0,0.0,21.0,22.63,12.0,0.0,0.0
253840,수젠텍,202604060900,20260416,4540,4725,3.78,220,10,91,57.07,0.0,2.0,25.0,7.0,0.0,0.0
181710,NHN,202310250900,20231114,21350,22200,3.69,46,20,90,58.08,0.0,5.0,15.0,12.0,0.0,0.0
321260,프로이천,202411180900,20241122,2230,2315,3.52,448,4,97,50.0,0.0,17.0,15.0,15.0,0.0,0.0
335810,프리시젼바이오,202511060900,20251110,2665,2765,3.46,375,4,94,51.97,0.0,10.0,25.0,8.0,0.0,0.0
416180,신성에스티,202405280900,20240529,32150,33350,3.44,31,1,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
222980,한국맥널티,202404180900,20240422,4385,4545,3.36,228,4,96,52.67,0.0,17.0,15.0,12.0,0.0,0.0
289220,자이언트스텝,202604160900,20260422,3150,3265,3.36,317,6,99,50.0,0.0,12.0,22.79,15.0,0.0,0.0
258610,케일럼,202304030900,20230406,2410,2495,3.24,414,3,90,64.93,0.0,2.0,15.0,9.0,0.0,0.0
034730,SK,202310120900,20231016,148300,153500,3.22,6,4,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
336060,웨이버스,202511110900,20251210,1014,1049,3.16,986,29,91,59.01,0.0,5.0,25.0,2.0,0.0,0.0
352700,씨앤투스,202503120900,20250319,2525,2610,3.08,396,7,94,61.88,0.0,9.0,15.0,9.0,0.0,0.0
140070,서플러스글로벌,202308300900,20230831,3730,3855,3.06,268,1,97,61.65,0.0,9.0,15.0,12.0,0.0,0.0
035900,JYP Ent.,202604140900,20260506,60400,62400,3.02,16,22,90,56.39,0.0,9.0,25.0,0.0,0.0,0.0
122690,서진오토모티브,202604140900,20260504,2355,2430,2.9,424,20,96,55.67,0.0,9.0,25.0,7.0,0.0,0.0
054620,APS,202502070900,20250212,5440,5610,2.84,183,5,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
025770,한국정보통신,202412240900,20250108,7760,8000,2.8,128,15,91,52.0,0.0,14.0,25.0,0.0,0.0,0.0
067990,도이치모터스,202408120900,20240909,4585,4725,2.77,218,28,108,59.3,0.0,9.0,25.0,15.0,0.0,0.0
053580,웹케시,202511250900,20251128,10410,10720,2.69,96,3,94,60.64,0.0,2.0,25.0,7.0,0.0,0.0
242040,나무기술,202311060900,20231109,2025,2080,2.43,493,3,94,63.38,0.0,9.0,15.0,7.0,0.0,0.0
047080,한빛소프트,202511270900,20251201,1161,1192,2.38,861,4,93,62.21,0.0,9.0,15.0,7.0,0.0,0.0
105550,엣지파운드리,202604140900,20260420,1200,1232,2.38,833,6,95,57.81,0.0,6.0,24.96,7.0,0.0,0.0
