code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
219550,디와이디,202409090900,20240910,1200,2025,68.29,833,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
321820,아티스트컴퍼니,202312080900,20231211,3740,6270,67.19,267,3,128,35.0,58.24,10.0,15.0,10.0,0.0,0.0
188260,세니젠,202501060900,20250109,2735,4530,65.18,365,3,102,57.47,20.0,0.0,15.0,10.0,0.0,0.0
900100,애머릿지,202604090900,20260410,260,421,61.48,3846,1,145,70.0,55.0,30.0,0.0,0.0,0.0,-10.0
109960,앱토크롬,202304260900,20230427,1278,2055,60.36,782,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
208640,썸에이지,202508040900,20250805,247,395,59.48,4048,1,107,35.0,37.82,10.0,15.0,10.0,0.0,0.0
411080,샌즈랩,202408270900,20240828,6110,9760,59.3,163,1,119,35.0,49.62,10.0,15.0,10.0,0.0,0.0
000680,LS네트웍스,202307250900,20230726,2730,4350,58.9,366,1,124,35.0,54.59,10.0,15.0,10.0,0.0,0.0
044180,KD,202508220900,20250825,436,683,56.22,2293,3,169,70.0,55.0,15.0,25.0,4.0,0.0,0.0
079190,케스피온,202406050900,20240607,640,1002,56.13,1562,2,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
024060,흥구석유,202506120900,20250616,12470,19330,54.59,80,4,111,35.0,41.38,10.0,15.0,10.0,0.0,0.0
376930,노을,202410070900,20241008,1816,2801,53.82,550,1,100,35.0,40.8,0.0,15.0,10.0,0.0,0.0
043100,알파AI,202410020900,20241004,1891,2907,53.31,528,2,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
291810,핀텔,202511030900,20251104,2395,3680,53.23,417,1,112,35.0,50.4,10.0,15.0,10.0,0.0,-8.0
050120,ES큐브,202508120900,20250813,2160,3300,52.36,462,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
002420,세기상사,202404080900,20240409,5580,8490,51.73,179,1,149,70.0,30.0,30.0,25.0,4.0,0.0,-10.0
019660,글로본,202312120900,20231213,2645,4017,51.45,378,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
019570,플루토스,202502270900,20250228,236,356,50.43,4237,1,130,35.0,60.0,10.0,15.0,10.0,0.0,0.0
093640,케이알엠,202502100900,20250211,2555,3850,50.27,391,1,134,70.0,30.0,30.0,0.0,4.0,0.0,0.0
179530,애드바이오텍,202309120900,20230914,3730,5560,48.65,268,2,108,46.16,45.08,10.0,15.0,0.0,0.0,-8.0
391710,코닉오토메이션,202508250900,20250826,1426,2125,48.61,701,1,128,43.0,30.0,30.0,25.0,0.0,0.0,0.0
000490,대동,202309010900,20230905,10120,15030,48.11,98,4,139,64.28,20.0,10.0,15.0,30.0,0.0,0.0
219550,디와이디,202402130900,20240214,3210,4765,48.03,311,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
429270,시지트로닉스,202504100900,20250411,3564,5287,47.94,280,1,170,60.0,55.0,30.0,25.0,0.0,0.0,0.0
002420,세기상사,202511270900,20251128,4500,6600,46.26,222,1,169,70.0,54.97,30.0,25.0,0.0,0.0,-10.0
250930,예선테크,202509030900,20250904,426,624,46.08,2347,1,134,70.0,30.0,30.0,0.0,4.0,0.0,0.0
389680,유디엠텍,202601230900,20260126,559,816,45.57,1788,3,158,70.0,60.0,1.26,15.0,22.2,0.0,-10.0
091970,나노캠텍,202510020900,20251010,552,805,45.43,1811,8,132,43.0,30.0,30.0,25.0,4.0,0.0,0.0
351870,차이커뮤니케이션,202411210900,20241128,9320,13550,44.99,107,7,103,46.55,20.0,1.84,15.0,30.0,0.0,-10.0
318000,KBG,202308170900,20230818,8760,12720,44.81,114,1,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
050120,ES큐브,202408260900,20240827,1653,2400,44.79,604,1,140,70.0,15.0,30.0,25.0,0.0,0.0,0.0
065170,비엘팜텍,202304040900,20230405,1852,2687,44.69,539,1,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
348350,위드텍,202412030900,20241204,6420,9300,44.46,155,1,159,60.0,40.0,30.0,25.0,4.0,0.0,0.0
000490,대동,202312210900,20231222,13850,20000,44.01,72,1,100,35.0,20.0,0.0,15.0,30.0,0.0,0.0
323350,다원넥스뷰,202601080900,20260109,5040,7270,43.85,198,1,115,35.0,51.03,10.0,15.0,12.8,0.0,-8.0
032800,판타지오,202502200900,20250221,508,732,43.7,1968,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
146320,비씨엔씨,202305230900,20230524,16950,24400,43.56,58,1,108,35.0,20.0,8.5,15.0,30.0,0.0,0.0
060570,드림어스컴퍼니,202410230900,20241024,1740,2490,42.71,574,1,139,50.0,30.0,30.0,25.0,4.0,0.0,0.0
131400,이브이첨단소재,202507030900,20250704,1220,1743,42.48,819,1,113,35.0,43.41,10.0,15.0,10.0,0.0,0.0
064520,테크엘,202512020900,20251203,1468,2090,41.98,681,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
322780,코퍼스코리아,202601080900,20260109,778,1106,41.77,1285,1,134,60.0,55.0,25.0,0.0,4.0,0.0,-10.0
089790,제이티,202509180900,20250923,4375,6190,41.1,228,5,116,70.0,21.14,10.0,15.0,0.0,0.0,0.0
072950,빛샘전자,202401090900,20240110,4505,6360,40.79,221,1,121,35.0,51.04,10.0,15.0,10.0,0.0,0.0
137940,넥스트아이,202310300900,20231103,459,646,40.35,2178,4,122,52.5,20.0,10.0,15.0,25.12,0.0,0.0
405000,플라즈맵,202503100900,20250311,5279,7429,40.34,189,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
053950,경남제약,202310310900,20231101,801,1125,40.06,1248,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
171010,램테크놀러지,202404040900,20240405,4570,6400,39.66,218,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
067390,아스트,202406270900,20240628,535,749,39.61,1869,1,149,60.0,30.0,30.0,25.0,4.0,0.0,0.0
291650,압타머사이언스,202409020900,20240903,1776,2485,39.54,563,1,125,70.0,30.0,25.0,0.0,0.0,0.0,0.0
200130,콜마비앤에이치,202508200900,20250821,13880,19400,39.38,72,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
285800,진영,202308040900,20230807,4165,5820,39.35,240,3,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
318020,포인트모바일,202511070900,20251110,3800,5300,39.09,263,3,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
219550,디와이디,202507210900,20250722,1900,2650,39.09,526,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
431190,케이쓰리아이,202511060900,20251107,4375,6090,38.82,228,1,109,35.0,39.05,10.0,15.0,10.0,0.0,0.0
065530,와이어블,202306270900,20230628,2080,2895,38.8,480,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
429270,시지트로닉스,202407220900,20240723,9043,12553,38.43,110,1,130,50.0,30.0,25.0,25.0,0.0,0.0,0.0
378800,샤페론,202405290900,20240530,1553,2155,38.38,643,1,129,70.0,0.0,30.0,25.0,4.0,0.0,0.0
405000,플라즈맵,202503130900,20250314,6141,8518,38.32,162,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
453450,그리드위즈,202504100900,20250411,13050,18090,38.24,76,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
043100,알파AI,202510160900,20251017,1670,2315,38.24,598,1,115,35.0,60.0,10.0,15.0,10.0,0.0,-15.0
065170,비엘팜텍,202401300900,20240131,1167,1616,38.09,856,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
250930,예선테크,202510270900,20251028,430,595,37.99,2325,1,112,35.0,60.0,2.86,15.0,10.0,0.0,-10.0
335870,윙스풋,202511060900,20251107,1525,2110,37.98,655,1,134,70.0,30.0,30.0,0.0,4.0,0.0,0.0
408900,스튜디오미르,202502200900,20250221,2520,3470,37.32,396,1,108,35.0,43.14,5.23,15.0,10.0,0.0,0.0
434480,모니터랩,202408270900,20240828,3400,4670,36.97,294,1,129,70.0,0.0,30.0,25.0,4.0,0.0,0.0
009620,삼보산업,202508080900,20250811,1530,2100,36.88,653,3,119,35.0,51.77,7.43,15.0,10.0,0.0,0.0
222980,한국맥널티,202502120900,20250220,3450,4725,36.58,289,8,112,29.8,47.35,10.0,15.0,10.0,0.0,0.0
417860,오브젠,202407290900,20240730,10600,14490,36.32,94,1,169,60.0,54.69,30.0,25.0,0.0,0.0,0.0
210120,캔버스엔,202508050900,20250806,1062,1450,36.16,941,1,145,70.0,55.0,30.0,0.0,0.0,0.0,-10.0
254490,미래반도체,202303270900,20230329,19420,26500,36.08,51,2,110,55.53,20.0,10.0,15.0,10.0,0.0,0.0
369370,블리츠웨이엔터테인먼트,202506040900,20250605,1201,1638,36.01,832,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
025870,신라에스지,202412060900,20241210,5720,7800,35.99,174,4,111,70.0,10.0,6.28,15.0,10.0,0.0,0.0
069540,빛과전자,202505270900,20250528,920,1254,35.93,1086,1,115,70.0,10.0,10.0,15.0,10.0,0.0,0.0
067370,선바이오,202304140900,20230417,9660,13150,35.75,103,3,121,66.38,20.0,10.0,15.0,10.0,0.0,0.0
002720,국제약품,202310250900,20231026,3800,5160,35.41,263,1,107,35.0,20.0,10.0,15.0,27.32,0.0,0.0
137940,넥스트아이,202304060900,20230407,510,692,35.31,1960,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
225570,넥슨게임즈,202506040900,20250613,13620,18400,34.72,73,9,100,23.1,52.88,0.0,15.0,10.0,0.0,0.0
450140,코오롱모빌리티그룹,202401300900,20240131,2800,3780,34.63,357,1,135,60.0,30.0,30.0,25.0,0.0,0.0,-10.0
087600,픽셀플러스,202405080900,20240509,9200,12390,34.3,108,1,108,35.0,20.0,8.67,15.0,30.0,0.0,0.0
234030,싸이닉솔루션,202511070900,20251110,8050,10840,34.29,124,3,101,35.0,49.32,0.0,15.0,10.0,0.0,-8.0
052220,iMBC,202412060900,20241209,2800,3770,34.27,357,3,127,35.0,57.46,10.0,15.0,10.0,0.0,0.0
038530,케이바이오랩스,202602090900,20260212,315,424,34.23,3174,3,103,63.47,20.0,0.0,0.0,20.0,0.0,0.0
114450,그린생명과학,202511110900,20251112,2790,3750,34.04,358,1,104,35.0,54.77,7.3,15.0,0.0,0.0,-8.0
177900,쓰리에이로직스,202511200900,20251121,5440,7290,33.64,183,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
239610,에이치엘사이언스,202307050900,20230706,16460,22050,33.59,60,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
189690,포시에스,202310110900,20231012,2145,2870,33.43,466,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
051980,중앙첨단소재,202603250900,20260326,1399,1871,33.37,714,1,122,70.0,22.95,30.0,0.0,0.0,0.0,0.0
408900,스튜디오미르,202409240900,20240925,2355,3145,33.18,424,1,151,70.0,22.2,30.0,25.0,4.0,0.0,0.0
005810,풍산홀딩스,202604030900,20260406,35400,47250,33.11,28,3,125,70.0,55.0,0.0,0.0,0.0,0.0,0.0
378800,샤페론,202407170900,20240718,1557,2076,32.96,642,1,113,35.0,51.16,10.0,15.0,10.0,0.0,-8.0
317120,라닉스,202509240900,20250925,1568,2090,32.92,637,1,121,35.0,60.0,8.7,15.0,10.52,0.0,-8.0
047920,HLB제약,202411180900,20241119,17500,23300,32.78,57,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
900300,오가닉티코스메틱,202510270900,20251031,366,487,32.69,2732,4,118,43.45,40.0,10.0,15.0,10.0,0.0,0.0
023440,제이스코홀딩스,202304050900,20230406,3225,4290,32.66,310,1,115,70.0,20.0,10.0,15.0,0.0,0.0,0.0
348370,엔켐,202603250900,20260326,34650,46050,32.53,28,1,120,70.0,30.0,30.0,0.0,0.0,0.0,-10.0
001000,신라섬유,202409040900,20240905,1084,1440,32.47,922,1,140,70.0,15.0,30.0,25.0,0.0,0.0,0.0
121850,코이즈,202307200900,20230721,19987,26546,32.45,50,1,129,70.0,0.0,30.0,25.0,4.0,0.0,0.0
266870,파워풀엑스,202409270900,20240930,680,900,31.99,1470,3,105,35.0,60.0,0.0,15.0,10.0,0.0,-15.0
377480,마음AI,202505090900,20250512,16740,22150,31.95,59,3,119,26.15,58.0,10.0,15.0,10.0,0.0,0.0
420570,제이투케이바이오,202502270900,20250228,9000,11900,31.86,111,1,110,35.0,20.0,10.0,15.0,30.0,0.0,0.0
008290,원풍물산,202508210900,20250902,497,655,31.43,2012,12,102,57.59,20.0,0.0,15.0,10.0,0.0,0.0
036540,SFA반도체,202512290900,20260105,4540,5980,31.35,220,7,157,54.09,59.66,7.87,15.0,21.05,0.0,0.0
016670,디모아,202403210900,20240322,7276,9577,31.26,137,1,140,60.0,30.0,25.0,25.0,0.0,0.0,0.0
091590,남화토건,202309210900,20230922,7710,10130,31.02,129,1,100,70.0,0.0,0.0,0.0,30.0,0.0,0.0
340360,다보링크,202310130900,20231017,1496,1965,30.99,668,4,135,51.78,58.72,10.0,15.0,0.0,0.0,0.0
050960,수산아이앤티,202504070900,20250409,16000,21000,30.89,62,2,105,35.0,20.0,10.0,15.0,25.28,0.0,0.0
039560,다산네트웍스,202407150900,20240716,2905,3810,30.79,344,1,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
003090,대웅,202407040900,20240705,15750,20650,30.75,63,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
171010,램테크놀러지,202407010900,20240702,4665,6110,30.61,214,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
067630,HLB생명과학,202411180900,20241119,8220,10760,30.54,121,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
002070,비비안,202306220900,20230623,1296,1696,30.5,771,1,132,43.0,30.0,30.0,25.0,4.0,0.0,0.0
016670,디모아,202410280900,20241029,3630,4750,30.49,275,1,180,70.0,55.0,30.0,25.0,0.0,0.0,0.0
254490,미래반도체,202408090900,20240812,10800,14130,30.47,92,3,155,70.0,30.0,30.0,25.0,0.0,0.0,0.0
281740,레이크머티리얼즈,202601200900,20260123,16100,21050,30.38,62,3,132,26.76,58.34,10.0,15.0,30.0,0.0,-8.0
223310,사토시홀딩스,202503200900,20250321,2295,3000,30.36,435,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
419050,삼기에너지솔루션즈,202307260900,20230727,3421,4467,30.21,292,1,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
356680,엑스게이트,202604130900,20260414,7280,9500,30.13,137,1,136,40.54,60.0,0.0,15.0,28.8,0.0,-8.0
308100,형지글로벌,202506300900,20250702,2537,3310,30.11,394,2,105,70.0,10.0,0.0,15.0,10.0,0.0,0.0
001380,SG글로벌,202412170900,20241220,3420,4460,30.05,292,3,100,35.0,10.0,10.0,15.0,30.0,0.0,0.0
106080,케이이엠텍,202601190900,20260120,2800,3645,29.82,357,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
222080,씨아이에스,202601200900,20260123,7100,9240,29.78,140,3,126,16.92,54.1,10.0,15.0,30.0,0.0,0.0
109670,씨싸이트,202509250900,20250926,6420,8350,29.7,155,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
412350,레이저쎌,202511200900,20251121,1967,2550,29.28,508,1,130,35.0,60.0,10.0,15.0,10.0,0.0,0.0
304840,피플바이오,202512240900,20251226,1059,1372,29.2,944,2,145,70.0,55.0,30.0,0.0,0.0,0.0,-10.0
177900,쓰리에이로직스,202507150900,20250716,6490,8400,29.07,154,1,139,50.0,30.0,30.0,25.0,4.0,0.0,0.0
049070,인탑스,202401150900,20240116,28200,36400,28.72,35,1,120,70.0,20.0,5.23,15.0,10.0,0.0,0.0
048410,현대바이오,202507100900,20250711,5080,6555,28.68,196,1,106,63.47,23.12,5.02,15.0,10.0,0.0,-10.0
005360,모나미,202508260900,20250827,2110,2720,28.55,473,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
163730,핑거,202311170900,20231120,10050,12950,28.5,99,3,117,35.0,59.67,8.16,15.0,0.0,0.0,0.0
430690,한싹,202404010900,20240402,7059,9090,28.42,141,1,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
464280,티디에스팜,202411220900,20241125,13090,16840,28.29,76,3,159,70.0,30.0,30.0,25.0,4.0,0.0,0.0
099220,SDN,202409110900,20240912,1244,1600,28.26,803,1,135,50.0,30.0,30.0,25.0,0.0,0.0,0.0
365330,에스와이스틸텍,202407020900,20240703,1887,2426,28.21,529,1,139,60.0,30.0,30.0,25.0,4.0,0.0,-10.0
050090,비케이홀딩스,202602200900,20260223,541,695,28.11,1848,3,159,70.0,55.0,30.0,0.0,4.0,0.0,0.0
211270,AP위성,202401030900,20240104,14100,18090,27.94,70,1,102,35.0,20.0,8.3,15.0,23.85,0.0,0.0
214680,디알텍,202305090900,20230517,2105,2700,27.91,475,8,151,69.3,39.88,9.08,15.0,18.15,0.0,0.0
079370,제우스,202601220900,20260128,15530,19870,27.59,64,6,112,23.13,42.24,10.0,15.0,30.0,0.0,-8.0
043710,서울리거,202504110900,20250414,504,644,27.42,1984,3,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
299660,셀리드,202407250900,20240726,3175,4055,27.36,314,1,122,35.0,52.42,10.0,15.0,10.0,0.0,0.0
033170,시그네틱스,202305240900,20230601,1402,1790,27.32,713,8,125,70.0,20.0,10.0,15.0,10.0,0.0,0.0
079190,케스피온,202504290900,20250508,472,602,27.19,2118,9,153,70.0,48.5,10.0,15.0,10.0,0.0,0.0
452160,제이엔비,202407040900,20240708,11040,14050,26.91,90,4,123,68.48,20.0,10.0,15.0,10.0,0.0,0.0
066310,큐에스아이,202511060900,20251107,6900,8780,26.89,144,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
002870,신풍,202411260900,20241127,958,1219,26.89,1043,1,108,27.26,34.17,10.0,15.0,30.0,0.0,-8.0
347860,알체라,202307170900,20230718,7607,9670,26.77,131,1,129,70.0,0.0,30.0,25.0,4.0,0.0,0.0
094170,동운아나텍,202310110900,20231012,17290,21977,26.76,57,1,120,60.0,15.0,30.0,25.0,0.0,0.0,-10.0
393210,토마토시스템,202306130900,20230614,4669,5934,26.74,214,1,128,35.0,58.5,10.0,15.0,10.0,0.0,0.0
291650,압타머사이언스,202402050900,20240206,2689,3415,26.65,371,1,115,60.0,0.0,30.0,25.0,0.0,0.0,0.0
001020,페이퍼코리아,202410230900,20241024,780,990,26.57,1282,1,125,70.0,20.0,10.0,15.0,10.0,0.0,0.0
240810,원익IPS,202512300900,20260105,65400,83000,26.56,15,6,138,46.58,60.0,10.0,15.0,14.75,0.0,-8.0
398120,에스지헬스케어,202504160900,20250417,3005,3810,26.44,332,1,110,35.0,20.0,10.0,15.0,30.0,0.0,0.0
214610,롤링스톤,202503190900,20250320,5257,6662,26.38,190,1,130,70.0,30.0,30.0,0.0,0.0,0.0,0.0
084180,수성웹툰,202410040900,20241017,5950,7540,26.37,168,13,103,58.8,20.0,10.0,15.0,0.0,0.0,0.0
240600,유진테크놀로지,202407020900,20240703,8890,11250,26.2,112,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
058110,멕아이씨에스,202310250900,20231026,2300,2910,26.17,434,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
225190,LK삼양,202408210900,20240823,1535,1942,26.16,651,2,148,68.6,60.0,10.0,15.0,10.0,0.0,-15.0
340360,다보링크,202401310900,20240201,1661,2100,26.08,602,1,115,60.0,30.0,25.0,0.0,0.0,0.0,0.0
067570,엔브이에이치코리아,202412160900,20241217,2405,3040,26.05,415,1,141,47.86,58.15,10.0,15.0,10.0,0.0,0.0
317850,대모,202511240900,20251125,7010,8860,26.04,142,1,134,35.0,47.69,10.0,15.0,27.24,0.0,0.0
002870,신풍,202309130900,20230914,869,1098,26.0,1150,1,145,50.0,40.0,30.0,25.0,0.0,0.0,0.0
033320,제이씨현시스템,202409100900,20240911,3005,3795,25.94,332,1,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
036090,위지트,202310230900,20231024,594,750,25.91,1683,1,100,35.0,40.0,0.0,15.0,10.0,0.0,0.0
083790,CG인바이츠,202305190900,20230524,3575,4510,25.8,279,5,115,61.53,20.0,9.13,15.0,10.0,0.0,0.0
205470,휴마시스,202305230900,20230524,2545,3210,25.78,392,1,125,70.0,0.0,30.0,25.0,0.0,0.0,0.0
032800,판타지오,202403080900,20240311,900,1135,25.76,1111,3,145,60.0,30.0,30.0,25.0,0.0,0.0,0.0
289930,웨이비스,202504280900,20250508,8780,11070,25.73,113,10,113,56.25,20.0,10.0,15.0,12.55,0.0,0.0
