code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
047920,HLB제약,202411180900,20241119,17500,23300,32.78,57,1,116,35.0,25.0,25.0,25.0,0.0,6.01,0.0
032800,판타지오,202403080900,20240311,900,1135,25.76,1111,3,145,75.0,15.0,25.0,25.0,0.0,5.43,0.0
043100,알파AI,202510150900,20251016,1373,1670,21.29,728,1,126,35.0,43.0,25.0,25.0,4.0,4.95,-10.0
035080,그래디언트,202310240900,20231025,10580,12390,16.78,94,1,138,68.0,0.0,25.0,25.0,0.0,20.0,0.0
205500,넥써쓰,202308100900,20230811,1728,1985,14.55,578,1,116,50.0,27.47,25.0,0.0,4.0,10.0,0.0
025900,동화기업,202601220900,20260123,8080,9280,14.53,123,1,115,50.0,33.0,0.0,25.0,2.0,5.66,0.0
299900,위지윅스튜디오,202404110900,20240412,2255,2580,14.09,443,1,149,53.0,25.0,25.0,25.0,4.0,17.0,0.0
261780,차백신연구소,202501060900,20250107,2960,3320,11.85,337,1,140,80.0,0.0,25.0,25.0,0.0,10.0,0.0
461030,아이엠비디엑스,202407120900,20240715,8950,9930,10.64,111,3,120,35.0,35.0,25.0,25.0,0.0,0.0,0.0
063170,서울옥션,202409020900,20240903,6580,7290,10.48,151,1,117,33.0,24.97,25.0,25.0,0.0,10.0,0.0
009730,이렘,202602040900,20260205,593,651,9.47,1686,1,142,80.0,25.0,0.0,25.0,2.0,10.0,0.0
011000,진원생명과학,202604140900,20260415,717,786,9.32,1394,1,151,68.0,50.0,13.0,25.0,0.0,5.84,-10.0
305090,마이크로디지탈,202604010900,20260402,5810,6350,8.99,172,1,125,35.0,50.0,5.0,25.0,0.0,10.0,0.0
039830,오로라,202601050900,20260106,14200,15440,8.43,70,1,143,25.0,50.0,25.0,25.0,4.0,14.0,0.0
445090,에이직랜드,202409090900,20240910,24850,27000,8.35,40,1,157,53.0,60.0,5.0,25.0,0.0,14.0,0.0
351320,넥사다이내믹스,202308090900,20230810,2895,3145,8.33,345,1,118,50.0,0.0,25.0,25.0,4.0,14.0,0.0
011330,유니켐,202604130900,20260414,650,705,8.16,1538,1,187,75.0,60.0,13.0,25.0,4.0,10.0,0.0
320000,한울반도체,202308170900,20230818,2400,2600,8.03,416,1,136,75.0,0.0,25.0,25.0,4.0,7.49,0.0
054780,키이스트,202601120900,20260113,3130,3390,8.0,319,1,115,35.0,25.0,20.0,25.0,0.0,10.0,0.0
160550,NEW,202511200900,20251121,2005,2170,7.93,498,1,119,35.0,25.0,20.0,25.0,4.0,10.0,0.0
406820,뷰티스킨,202603240900,20260325,1908,2065,7.93,524,1,128,43.0,40.0,20.0,25.0,0.0,0.0,0.0
052400,코나아이,202407120900,20240715,14620,15800,7.77,68,3,117,63.0,0.0,25.0,25.0,4.0,10.28,-10.0
009730,이렘,202602120900,20260213,624,674,7.71,1602,1,135,80.0,8.0,10.0,25.0,2.0,10.0,0.0
376930,노을,202402060900,20240207,2889,3106,7.21,346,1,148,63.0,25.0,25.0,25.0,0.0,10.0,0.0
204840,지엘팜텍,202509230900,20250924,1083,1164,7.18,923,1,125,40.0,25.0,25.0,25.0,0.0,10.0,0.0
038540,상상인,202409230900,20240924,1710,1836,7.07,584,1,128,80.0,0.0,5.0,25.0,4.0,14.0,0.0
052710,아모텍,202511190900,20251120,8980,9620,6.83,111,1,123,25.0,43.0,20.0,25.0,0.0,10.0,0.0
376930,노을,202404290900,20240430,1963,2097,6.53,509,1,127,43.0,25.0,25.0,25.0,0.0,9.38,0.0
253590,네오셈,202409120900,20240913,8560,9140,6.48,116,1,148,35.0,46.38,25.0,25.0,0.0,17.0,0.0
009620,삼보산업,202411140900,20241115,1381,1469,6.08,724,1,165,80.0,25.0,25.0,25.0,0.0,10.0,0.0
092040,아미코젠,202310200900,20231023,5562,5916,6.07,179,3,118,55.0,15.0,13.0,25.0,0.0,10.0,0.0
301300,바이브컴퍼니,202411180900,20241119,3250,3450,5.86,307,1,117,35.0,35.0,23.0,0.0,4.0,20.0,0.0
299900,위지윅스튜디오,202407040900,20240705,1662,1763,5.78,601,1,137,63.0,8.0,20.0,25.0,4.0,17.0,0.0
053350,이니텍,202601130900,20260114,4455,4720,5.65,224,1,127,55.0,25.0,20.0,25.0,0.0,12.0,-10.0
025770,한국정보통신,202305170900,20230518,9980,10570,5.62,100,1,116,40.0,25.0,5.0,25.0,4.0,17.0,0.0
950210,프레스티지바이오파마,202604160900,20260417,9200,9740,5.57,108,1,148,53.0,40.0,15.0,25.0,0.0,15.81,0.0
083640,인콘,202303240900,20230327,889,941,5.55,1124,3,127,68.0,0.0,20.0,25.0,4.0,10.0,0.0
462980,아이지넷,202511260900,20251127,1771,1872,5.41,564,1,147,40.0,43.0,25.0,25.0,4.0,10.0,0.0
419080,엔젯,202603250900,20260326,5070,5350,5.23,197,1,115,35.0,40.0,5.0,25.0,0.0,10.0,0.0
206560,덱스터,202604140900,20260415,2650,2795,5.18,377,1,118,53.0,50.0,5.0,0.0,0.0,10.0,0.0
048530,인트론바이오,202504010900,20250402,3365,3545,5.06,297,1,115,40.0,60.0,5.0,0.0,0.0,10.0,0.0
352700,씨앤투스,202403070900,20240308,2730,2875,5.02,366,1,118,40.0,15.0,23.0,25.0,4.0,11.85,0.0
900340,윙입푸드,202506190900,20250620,1202,1265,4.95,831,1,140,75.0,25.0,5.0,25.0,0.0,10.0,0.0
088290,이원컴포텍,202512240900,20251226,756,794,4.73,1322,2,125,35.0,60.0,20.0,0.0,0.0,10.0,0.0
110020,전진바이오팜,202601160900,20260119,2205,2315,4.7,453,3,115,35.0,35.0,25.0,0.0,0.0,20.0,0.0
340450,지씨지놈,202511100900,20251111,6630,6960,4.68,150,1,115,40.0,60.0,5.0,0.0,0.0,10.0,0.0
063170,서울옥션,202311010900,20231102,8930,9370,4.63,111,1,119,40.0,15.0,25.0,25.0,0.0,14.0,0.0
054780,키이스트,202603130900,20260316,2355,2470,4.59,424,3,135,40.0,35.0,25.0,25.0,0.0,10.0,0.0
139670,키네마스터,202603240900,20260325,1846,1936,4.58,541,1,135,40.0,25.0,25.0,25.0,0.0,20.0,0.0
363250,진시스템,202312080900,20231211,9000,9430,4.49,111,3,119,55.0,15.0,20.0,25.0,0.0,4.78,0.0
352820,하이브,202604240900,20260427,244500,256000,4.41,4,3,115,35.0,40.0,5.0,25.0,0.0,10.0,0.0
000040,KR모터스,202407040900,20240705,641,671,4.39,1560,1,169,80.0,25.0,25.0,25.0,4.0,10.0,0.0
054780,키이스트,202601260900,20260127,2920,3050,4.16,342,1,145,35.0,50.0,25.0,25.0,0.0,10.0,0.0
251970,펌텍코리아,202603230900,20260324,45100,47100,4.14,22,1,118,35.0,25.0,20.0,25.0,0.0,13.67,0.0
267320,나인테크,202601190900,20260120,2830,2955,4.13,353,1,123,43.0,33.0,8.0,25.0,4.0,10.0,0.0
114840,아이패밀리에스씨,202511140900,20251117,15300,15970,4.09,65,3,120,50.0,25.0,25.0,0.0,0.0,20.0,0.0
072470,우리산업홀딩스,202310270900,20231030,3230,3370,4.04,309,3,131,50.0,35.0,5.0,25.0,4.0,12.0,0.0
005160,동국산업,202601220900,20260123,2590,2700,3.96,386,1,130,68.0,25.0,0.0,25.0,0.0,12.0,0.0
083790,CG인바이츠,202601260900,20260127,1247,1300,3.96,801,1,118,15.0,35.0,30.0,25.0,4.0,9.67,0.0
310870,디와이씨,202407190900,20240722,1243,1295,3.89,804,3,134,40.0,35.0,20.0,25.0,4.0,10.82,0.0
348030,모비릭스,202409090900,20240910,4230,4405,3.85,236,1,135,55.0,25.0,20.0,25.0,0.0,10.0,0.0
099440,스맥,202604220900,20260423,4350,4525,3.73,229,1,127,30.0,40.0,20.0,25.0,2.0,10.0,0.0
217330,싸이토젠,202604150900,20260416,4000,4160,3.71,250,1,115,25.0,40.0,13.0,25.0,2.0,10.0,0.0
044780,에이치케이,202404090900,20240411,1525,1584,3.58,655,2,138,80.0,25.0,25.0,0.0,4.0,4.0,0.0
224060,더코디,202504010900,20250402,2995,3110,3.55,333,1,132,63.0,25.0,5.0,25.0,4.0,10.0,0.0
334970,프레스티지바이오로직스,202511040900,20251105,3000,3115,3.54,333,1,132,25.0,48.67,20.0,25.0,4.0,10.0,0.0
495900,에이엠시지,202507180900,20250721,10000,10380,3.51,100,3,125,40.0,35.0,25.0,25.0,0.0,10.0,-10.0
058470,리노공업,202304070900,20230410,26827,27828,3.44,37,3,119,63.0,15.0,5.0,25.0,0.0,11.75,0.0
008490,서흥,202604150900,20260416,18050,18720,3.42,55,1,130,50.0,40.0,5.0,25.0,0.0,10.0,0.0
351320,넥사다이내믹스,202310300900,20231031,2275,2355,3.23,439,1,117,75.0,15.0,13.0,0.0,0.0,14.0,0.0
226340,본느,202601260900,20260127,576,596,3.18,1736,1,125,50.0,35.0,30.0,0.0,0.0,10.0,0.0
445090,에이직랜드,202408300900,20240902,29150,30150,3.14,34,3,135,75.0,8.0,13.0,25.0,0.0,14.0,0.0
032800,판타지오,202412110900,20241212,560,579,3.1,1785,1,120,55.0,25.0,5.0,25.0,0.0,10.0,0.0
018000,유니슨,202602110900,20260212,1004,1038,3.1,996,1,120,25.0,40.0,20.0,25.0,2.0,8.11,0.0
063170,서울옥션,202405210900,20240522,8550,8830,2.99,116,1,139,50.0,25.0,25.0,25.0,4.0,10.0,0.0
347770,핌스,202601260900,20260127,1058,1092,2.93,945,1,160,65.0,30.71,30.0,25.0,0.0,10.0,0.0
206560,덱스터,202604160900,20260417,2800,2890,2.93,357,1,150,53.0,47.07,15.0,25.0,0.0,10.0,0.0
109740,디에스케이,202604150900,20260416,5070,5230,2.87,197,1,116,33.0,43.0,5.0,25.0,0.0,10.0,0.0
227610,아우딘퓨쳐스,202510240900,20251027,767,791,2.84,1303,3,115,40.0,35.0,5.0,25.0,0.0,10.0,0.0
900340,윙입푸드,202604010900,20260402,613,632,2.81,1631,1,138,75.0,23.06,5.0,25.0,0.0,10.0,0.0
439580,블루엠텍,202604010900,20260402,3400,3505,2.8,294,1,155,75.0,32.51,13.0,25.0,0.0,10.0,0.0
099220,SDN,202310300900,20231031,1111,1145,2.77,900,1,123,75.0,8.0,5.0,25.0,0.0,10.0,0.0
156100,엘앤케이바이오,202604170900,20260420,7630,7860,2.73,131,3,134,40.0,50.0,5.0,25.0,4.0,10.0,0.0
200350,아티스트스튜디오,202601020900,20260105,5720,5890,2.68,174,3,145,35.0,50.0,25.0,25.0,0.0,10.0,0.0
241840,에이스토리,202604080900,20260409,5050,5200,2.68,198,1,118,53.0,50.0,5.0,0.0,0.0,10.0,0.0
253450,스튜디오드래곤,202604130900,20260414,33800,34800,2.67,29,1,122,35.0,50.0,5.0,25.0,0.0,7.53,0.0
024060,흥구석유,202412300900,20250102,12290,12650,2.64,81,3,128,63.0,15.0,13.0,25.0,0.0,12.0,0.0
025770,한국정보통신,202305120900,20230515,10290,10590,2.63,97,3,122,35.0,25.0,20.0,25.0,0.0,17.0,0.0
025950,동신건설,202509290900,20250930,15720,16170,2.58,63,1,117,68.0,50.0,5.0,0.0,0.0,4.0,-10.0
403850,더핑크퐁컴퍼니,202604010900,20260402,16100,16560,2.57,62,1,144,63.0,50.0,5.0,25.0,0.0,1.93,0.0
089980,상아프론테크,202311010900,20231102,17770,18270,2.53,56,1,149,80.0,25.0,5.0,25.0,0.0,14.0,0.0
099440,스맥,202604240900,20260427,4340,4460,2.48,230,3,120,30.0,50.0,5.0,25.0,0.0,10.0,0.0
131760,파인텍,202307200900,20230721,1051,1080,2.47,951,1,146,75.0,15.0,13.0,25.0,0.0,18.63,0.0
063170,서울옥션,202306020900,20230605,12780,13120,2.37,78,3,126,63.0,15.0,5.0,25.0,4.0,14.0,0.0
276040,스코넥,202407260900,20240729,3211,3295,2.33,311,3,129,68.0,25.0,5.0,25.0,0.0,6.6,0.0
052300,오션인더블유,202511250900,20251126,2135,2190,2.29,468,1,163,63.0,50.0,5.0,25.0,0.0,20.0,0.0
348950,제이알글로벌리츠,202604210900,20260422,1216,1247,2.26,822,1,120,80.0,33.17,5.0,0.0,0.0,12.0,-10.0
000040,KR모터스,202402020900,20240205,929,952,2.19,1076,3,118,63.0,15.0,5.0,25.0,0.0,10.0,0.0
032800,판타지오,202412130900,20241216,570,584,2.17,1754,3,124,55.0,25.0,5.0,25.0,4.0,10.0,0.0
083640,인콘,202307100900,20230711,694,711,2.16,1440,1,121,53.0,0.0,25.0,25.0,4.0,14.0,0.0
148250,알엔투테크놀로지,202601260900,20260127,3120,3195,2.12,320,1,182,80.0,40.0,30.0,25.0,0.0,7.7,0.0
011090,에넥스,202603270900,20260330,416,426,2.12,2403,3,117,55.0,25.0,20.0,0.0,0.0,17.0,0.0
122990,와이솔,202409120900,20240913,6260,6410,2.11,159,1,132,55.0,25.0,15.0,25.0,0.0,12.09,0.0
352910,오비고,202603240900,20260325,4200,4300,2.09,238,1,141,68.0,33.0,5.0,25.0,0.0,10.0,0.0
000650,천일고속,202604080900,20260409,210000,215000,2.09,4,1,151,43.0,60.0,13.0,25.0,0.0,10.0,0.0
122990,와이솔,202408300900,20240902,6370,6520,2.07,156,3,136,80.0,15.0,5.0,25.0,0.0,11.24,0.0
432430,와이랩,202604080900,20260409,3050,3120,2.01,327,1,125,55.0,60.0,0.0,0.0,0.0,10.0,0.0
312610,에이에프더블류,202603270900,20260330,968,990,1.99,1033,3,140,55.0,33.0,13.0,25.0,4.0,10.0,0.0
179530,애드바이오텍,202601130900,20260114,1907,1950,1.97,524,1,122,55.0,25.0,5.0,25.0,2.0,10.0,0.0
052710,아모텍,202306130900,20230614,12210,12480,1.93,81,1,118,55.0,8.0,20.0,25.0,0.0,10.0,0.0
276040,스코넥,202308290900,20230830,7226,7386,1.93,138,1,128,65.0,15.0,13.0,25.0,0.0,10.0,0.0
460870,에스엠씨지,202512100900,20251211,3890,3975,1.9,257,1,150,50.0,60.0,5.0,25.0,0.0,10.0,0.0
072470,우리산업홀딩스,202311010900,20231102,3210,3280,1.89,311,1,132,63.0,27.22,5.0,25.0,0.0,12.0,0.0
002920,유성기업,202604130900,20260414,1801,1840,1.88,555,1,115,25.0,60.0,25.0,0.0,4.0,1.02,0.0
099220,SDN,202311010900,20231102,1118,1142,1.86,894,1,130,75.0,15.0,5.0,25.0,0.0,10.0,0.0
039830,오로라,202601230900,20260126,14440,14750,1.86,69,3,122,40.0,33.0,10.0,25.0,0.0,14.0,0.0
299900,위지윅스튜디오,202307120900,20230713,3040,3105,1.85,328,1,119,50.0,25.0,5.0,25.0,0.0,14.0,0.0
131400,이브이첨단소재,202301110900,20230112,1461,1492,1.84,684,1,120,25.0,57.38,5.0,25.0,0.0,8.02,0.0
227950,엔투텍,202512290900,20251230,329,336,1.84,3039,1,119,15.0,40.0,25.0,25.0,4.0,10.0,0.0
088290,이원컴포텍,202401260900,20240129,1563,1596,1.83,639,3,129,68.0,15.0,13.0,25.0,0.0,8.96,0.0
276040,스코넥,202407310900,20240801,3326,3396,1.82,300,1,116,68.0,15.0,0.0,25.0,2.0,6.81,0.0
216080,제테마,202604240900,20260427,7130,7280,1.82,140,3,118,15.0,60.0,5.0,25.0,4.0,9.26,0.0
160550,NEW,202403060900,20240307,3650,3725,1.77,273,1,118,53.0,25.0,5.0,25.0,0.0,10.0,0.0
069460,대호에이엘,202603130900,20260316,544,555,1.74,1838,3,115,40.0,25.0,20.0,25.0,0.0,5.02,0.0
047560,이스트소프트,202512290900,20251230,16410,16740,1.73,60,1,118,53.0,50.0,5.0,0.0,0.0,10.51,0.0
043340,에쎈테크,202511200900,20251121,415,423,1.64,2409,1,125,75.0,8.0,13.0,25.0,0.0,4.79,0.0
039310,세중,202310300900,20231031,1960,1997,1.6,510,1,124,80.0,0.0,5.0,25.0,4.0,10.46,0.0
305090,마이크로디지탈,202603250900,20260326,6500,6620,1.56,153,1,118,43.0,25.0,13.0,25.0,0.0,12.0,0.0
089980,상아프론테크,202310230900,20231024,18500,18840,1.55,54,1,124,80.0,0.0,5.0,25.0,0.0,14.0,0.0
352940,인바이오,202409100900,20240911,2220,2260,1.52,450,1,125,65.0,50.0,5.0,0.0,0.0,5.83,0.0
099220,SDN,202308090900,20230810,1504,1531,1.51,664,1,120,80.0,0.0,5.0,25.0,0.0,10.0,0.0
419540,비스토스,202601120900,20260113,1060,1079,1.51,943,1,144,40.0,60.0,5.0,25.0,0.0,14.0,0.0
086900,메디톡스,202412050900,20241206,124000,126200,1.49,8,1,119,75.0,0.0,5.0,25.0,0.0,14.0,0.0
035080,그래디언트,202512190900,20251222,11500,11700,1.45,86,3,132,25.0,60.0,5.0,25.0,0.0,17.0,0.0
025870,신라에스지,202603250900,20260326,4375,4450,1.43,228,1,125,55.0,25.0,13.0,25.0,0.0,7.98,0.0
373160,데이원컴퍼니,202602020900,20260203,4395,4470,1.42,227,1,115,50.0,25.0,5.0,25.0,0.0,10.0,0.0
049720,고려신용정보,202602030900,20260204,9890,10050,1.33,101,1,116,63.0,16.96,0.0,25.0,2.0,10.0,0.0
086900,메디톡스,202509050900,20250908,120300,122200,1.3,8,3,134,50.0,33.0,13.0,25.0,0.0,13.0,0.0
016670,디모아,202601020900,20260105,4425,4495,1.3,225,3,123,25.0,50.0,5.0,25.0,4.0,14.0,0.0
