code,code_name,buy_date,sell_date,purchase_price,sell_price,sell_rate,holding_amount,holding_days,composite_score,score_a,score_b,score_c,score_d,score_e,score_f,score_penalty
204840,지엘팜텍,202304280900,20230502,722,1128,55.8,1385,4,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
258610,케일럼,202304100900,20230519,2420,3685,51.85,413,39,97,50.0,0.0,17.0,15.0,15.0,0.0,0.0
064520,테크엘,202512020900,20251203,1468,2090,41.98,681,1,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
246720,아스타,202506240900,20250811,4080,5710,39.57,245,48,91,50.0,0.0,21.0,15.0,15.0,0.0,-10.0
239610,에이치엘사이언스,202409120900,20241025,12330,16470,33.21,81,43,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
340810,시선AI,202601190900,20260120,2690,3495,29.57,371,1,90,40.0,0.0,12.0,23.92,15.0,0.0,0.0
114450,그린생명과학,202408080900,20240830,1905,2425,26.94,524,22,111,64.99,0.0,17.0,15.0,15.0,0.0,0.0
114450,그린생명과학,202510310900,20251203,2730,3435,25.48,366,33,97,40.0,0.0,17.0,25.0,15.0,0.0,0.0
355390,크라우드웍스,202411260900,20241230,5164,6494,25.41,193,34,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
043100,알파AI,202402050900,20240206,2477,2968,19.49,403,1,101,50.0,0.0,21.0,15.0,15.0,0.0,0.0
261780,차백신연구소,202308180900,20230920,4990,5920,18.31,200,33,90,54.91,0.0,21.0,0.0,15.0,0.0,0.0
009620,삼보산업,202308250900,20230828,4657,5247,12.36,214,3,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
335810,프리시젼바이오,202511060900,20251107,2665,3000,12.26,375,1,94,51.97,0.0,10.0,25.0,8.0,0.0,0.0
439580,블루엠텍,202405300900,20240531,4135,4639,11.88,241,1,90,58.75,0.0,2.0,15.0,15.0,0.0,0.0
054620,APS,202502070900,20250311,5440,6100,11.82,183,32,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
338220,뷰노,202411250900,20241126,24850,27800,11.56,40,1,93,54.35,0.0,9.0,15.0,15.0,0.0,0.0
092870,엑시콘,202406280900,20240701,17570,19480,10.56,56,3,91,60.56,0.0,9.0,15.0,7.0,0.0,0.0
224060,더코디,202307310900,20230828,5640,6240,10.33,177,28,90,47.26,0.0,21.0,15.0,7.0,0.0,0.0
041190,우리기술투자,202601230900,20260126,7240,7980,9.91,138,3,99,56.39,0.0,6.0,25.0,12.0,0.0,0.0
263810,상신전자,202308180900,20230821,4355,4795,9.8,229,3,90,50.0,0.0,10.0,15.0,15.0,0.0,0.0
054620,APS,202509030900,20250904,4425,4850,9.3,225,1,102,63.21,0.0,9.0,15.0,15.0,0.0,0.0
261780,차백신연구소,202404180900,20240419,4580,4990,8.65,218,1,98,61.06,0.0,14.0,15.0,8.0,0.0,0.0
321260,프로이천,202405280900,20240529,2580,2810,8.61,387,1,94,54.38,0.0,10.0,15.0,15.0,0.0,0.0
170790,파이오링크,202306230900,20230626,14500,15670,7.77,68,3,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
078340,컴투스,202410300900,20241031,39850,43050,7.73,25,1,94,53.93,0.0,17.0,15.0,9.0,0.0,0.0
067000,조이시티,202511260900,20251218,1891,2035,7.31,528,22,91,44.78,0.0,17.0,15.0,15.0,0.0,0.0
025900,동화기업,202307280900,20230731,14738,15820,7.04,67,3,90,58.49,0.0,2.0,15.0,15.0,0.0,0.0
376930,노을,202503190900,20250320,2523,2704,6.88,396,1,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
034730,SK,202405310900,20240603,164500,176200,6.81,6,3,96,45.0,0.0,21.0,15.0,15.0,0.0,0.0
083660,CSA 코스믹,202411200900,20241212,890,952,6.67,1123,22,92,45.0,0.0,17.0,15.0,15.0,0.0,0.0
035080,그래디언트,202502180900,20250401,12220,13070,6.66,81,42,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
071280,로체시스템즈,202303240900,20230327,8510,9090,6.52,117,3,95,40.0,0.0,21.0,22.63,12.0,0.0,0.0
222980,한국맥널티,202404180900,20240528,4385,4660,5.97,228,40,96,52.67,0.0,17.0,15.0,12.0,0.0,0.0
043100,알파AI,202410150900,20241029,2096,2227,5.95,477,14,97,54.9,0.0,21.0,15.0,7.0,0.0,0.0
034730,SK,202310120900,20231013,148300,157300,5.77,6,1,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
002630,오리엔트바이오,202510200900,20251021,552,585,5.68,1811,1,100,61.88,0.0,2.0,25.0,12.0,0.0,0.0
065440,이루온,202504040900,20250407,1362,1441,5.5,734,3,94,40.0,0.0,21.0,25.0,8.0,0.0,0.0
352700,씨앤투스,202408080900,20240809,2890,3055,5.41,346,1,91,40.0,0.0,21.0,15.0,15.0,0.0,0.0
